dataset,model,novel_class,test_set,seed,accuracy_with_novel,accuracy_closed_world,balanced_accuracy_with_novel,balanced_accuracy_closed_world,novel_detection_precision,novel_detection_recall,novel_detection_f1,macro_precision,macro_recall,macro_f1,mcc_with_novel
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,42,0.98629198,0.98629198,0.98700768,0.98700768,0.00000000,0.00000000,0.00000000,0.82745327,0.82250640,0.82491862,0.98282079
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,42,0.88788427,0.98629198,0.85083973,0.98700768,0.75555556,0.17000000,0.27755102,0.87890010,0.85083973,0.83106879,0.86965949
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,43,0.98629198,0.99108979,0.98651536,0.99138268,0.00000000,0.00000000,0.00000000,0.82915304,0.82209614,0.82557574,0.98281569
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,43,0.92284509,0.99108979,0.89876280,0.99138268,0.88461538,0.46000000,0.60526316,0.91736789,0.89876280,0.89560958,0.90856985
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,44,0.99177519,0.99246059,0.99250000,0.99312500,0.00000000,0.00000000,0.00000000,0.82826011,0.82708333,0.82765081,0.98964603
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,44,0.88848704,0.99246059,0.84958333,0.99312500,0.90000000,0.13500000,0.23478261,0.88516111,0.84958333,0.81640429,0.87108675
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,45,0.98766278,0.98971899,0.98825768,0.99062500,0.00000000,0.00000000,0.00000000,0.82686335,0.82354807,0.82510820,0.98455474
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,45,0.92103677,0.98971899,0.89604807,0.99062500,0.89690722,0.43500000,0.58585859,0.91930764,0.89604807,0.89296216,0.90672730
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,46,0.98903358,0.99040439,0.98950768,0.99075768,0.00000000,0.00000000,0.00000000,0.82731736,0.82458973,0.82591515,0.98621769
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,46,0.92344786,0.99040439,0.89875640,0.99075768,0.93684211,0.44500000,0.60338983,0.92974585,0.89875640,0.89846326,0.90967871
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,42,0.98306390,0.98383372,0.98513268,0.98625000,0.00000000,0.00000000,0.00000000,0.82709862,0.82094390,0.82397342,0.97856777
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,42,0.75515009,0.98383372,0.82344390,0.98625000,0.31578947,0.01500000,0.02863962,0.73038047,0.82344390,0.73996453,0.74096494
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,43,0.96997691,0.97151655,0.97227304,0.97477304,0.00000000,0.00000000,0.00000000,0.81733757,0.81022754,0.81341168,0.96228092
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,43,0.74808711,0.97151655,0.81481087,0.97477304,0.39285714,0.02750000,0.05140187,0.69846640,0.81481087,0.70555853,0.73085757
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,44,0.98768283,0.98768283,0.98763268,0.98763268,0.00000000,0.00000000,0.00000000,0.82683223,0.82302723,0.82488735,0.98433758
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,44,0.80047087,0.98768283,0.85511057,0.98763268,0.93902439,0.19250000,0.31950207,0.82505108,0.85511057,0.78279424,0.78416698
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,45,0.97228637,0.97382602,0.97089036,0.97214036,0.00000000,0.00000000,0.00000000,0.82125200,0.80907530,0.81510829,0.96498800
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,45,0.74455562,0.97382602,0.80990864,0.97214036,0.09090909,0.00500000,0.00947867,0.67724472,0.80990864,0.71614952,0.72742577
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,46,0.98460354,0.98768283,0.98441341,0.98839036,0.00000000,0.00000000,0.00000000,0.82387228,0.82034451,0.82195096,0.98051126
