dataset,model,novel_class,test_set,accuracy_with_novel,accuracy_closed_world,balanced_accuracy_with_novel,balanced_accuracy_closed_world,novel_detection_precision,novel_detection_recall,novel_detection_f1,macro_precision,macro_recall,macro_f1,mcc_with_novel
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,0.86497601,0.98204249,0.86574860,0.98185265,0.00000000,0.00000000,0.00000000,0.83208514,0.72145717,0.77262982,0.84690217
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,0.88040989,0.98204249,0.88695717,0.98185265,0.50485070,0.99300000,0.66923637,0.91528263,0.88695717,0.88376780,0.86498119
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,0.84618938,0.97059276,0.82251746,0.96861034,0.00000000,0.00000000,0.00000000,0.83270720,0.68543122,0.74736465,0.82578761
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,0.87957622,0.97059276,0.85009788,0.96861034,0.66518478,0.98800000,0.79495598,0.93752139,0.85009788,0.87784528,0.85980690
BoT_IoT,RFF_LIM_NFST,TCP,known_only,0.84280216,0.97105466,0.81913897,0.96888687,0.00000000,0.00000000,0.00000000,0.83263829,0.68261581,0.74584928,0.82236775
BoT_IoT,RFF_LIM_NFST,TCP,with_novel_class,0.87486757,0.97105466,0.84578247,0.96888687,0.65802607,0.97900000,0.78692704,0.93280125,0.84578247,0.87403479,0.85397689
BoT_IoT,RFF_LIM_NFST,UDP,known_only,0.80892995,0.96843726,0.78707472,0.96747765,0.00000000,0.00000000,0.00000000,0.83166849,0.65589560,0.72868963,0.78904606
BoT_IoT,RFF_LIM_NFST,UDP,with_novel_class,0.84873455,0.96843726,0.81889560,0.96747765,0.61338335,0.97800000,0.75371601,0.92192693,0.81889560,0.85080271,0.82521695
BoT_IoT,RFF_LIM_NFST,scan,known_only,0.80338722,0.97613549,0.77797626,0.97284916,0.00000000,0.00000000,0.00000000,0.83279367,0.64831355,0.72247387,0.78367834
BoT_IoT,RFF_LIM_NFST,scan,with_novel_class,0.84838140,0.97613549,0.81406355,0.97284916,0.60995491,0.99450000,0.75593969,0.93183378,0.81406355,0.84768763,0.82619773
BoT_IoT,RFF_LIM_NFST,theft,known_only,0.81125000,0.96375000,0.78200000,0.95950000,0.00000000,0.00000000,0.00000000,0.83213722,0.65166667,0.72495290,0.79222348
BoT_IoT,RFF_LIM_NFST,theft,with_novel_class,0.83271197,0.96375000,0.81355007,0.95950000,0.44459764,0.97130045,0.60993057,0.90125995,0.81355007,0.82475451,0.81347815
