dataset,model,novel_class,test_set,seed,accuracy_with_novel,accuracy_closed_world,balanced_accuracy_with_novel,balanced_accuracy_closed_world,novel_detection_precision,novel_detection_recall,novel_detection_f1,macro_precision,macro_recall,macro_f1,mcc_with_novel
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,42,0.87388622,0.98012337,0.87269204,0.97941341,0.00000000,0.00000000,0.00000000,0.83333333,0.72724337,0.77664163,0.85614048
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,42,0.88908981,0.98012337,0.89391003,0.97941341,0.52083333,1.00000000,0.68493151,0.92013889,0.89391003,0.89079688,0.87445876
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,43,0.85606580,0.98012337,0.85644204,0.98089036,0.00000000,0.00000000,0.00000000,0.83154252,0.71370170,0.76793000,0.83756193
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,43,0.87221218,0.98012337,0.87870170,0.98089036,0.48888889,0.99000000,0.65454545,0.91183281,0.87870170,0.87650547,0.85608680
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,44,0.85949280,0.98492118,0.86005936,0.98428073,0.00000000,0.00000000,0.00000000,0.83210196,0.71671613,0.76994788,0.84119342
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,44,0.87522604,0.98492118,0.88171613,0.98428073,0.49376559,0.99000000,0.65890183,0.91269656,0.88171613,0.87904669,0.85935327
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,45,0.87662783,0.97738177,0.87962291,0.97740573,0.00000000,0.00000000,0.00000000,0.83011454,0.73301909,0.77825997,0.85877123
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,45,0.89089813,0.97738177,0.89885242,0.97740573,0.53066667,0.99500000,0.69217391,0.91798625,0.89885242,0.89336293,0.87607242
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,46,0.85880740,0.98766278,0.85992668,0.98727304,0.00000000,0.00000000,0.00000000,0.83333333,0.71660556,0.77036961,0.84084378
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,46,0.87462327,0.98766278,0.88160556,0.98727304,0.49009901,0.99000000,0.65562914,0.91375864,0.88160556,0.87912704,0.85893472
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,42,0.84988453,0.96920708,0.82479399,0.96829609,0.00000000,0.00000000,0.00000000,0.83273165,0.68732833,0.74820182,0.82938942
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,42,0.88346086,0.96920708,0.85274500,0.96829609,0.67174281,0.99250000,0.80121090,0.94008783,0.85274500,0.88031658,0.86435025
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,43,0.84526559,0.96689761,0.82242668,0.96740573,0.00000000,0.00000000,0.00000000,0.83274232,0.68535556,0.74787551,0.82467057
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,43,0.88110653,0.96689761,0.85160556,0.96740573,0.66611018,0.99750000,0.79879880,0.94202457,0.85160556,0.88052355,0.86203091
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,44,0.84988453,0.97844496,0.82795740,0.97950768,0.00000000,0.00000000,0.00000000,0.83333333,0.68996450,0.75196643,0.82945719
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,44,0.87580930,0.97844496,0.84996450,0.97950768,0.66321244,0.96000000,0.78447395,0.92409555,0.84996450,0.87600334,0.85377777
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,45,0.85912240,0.97074673,0.83623254,0.96329609,0.00000000,0.00000000,0.00000000,0.83333333,0.69686045,0.75380924,0.83919862
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,45,0.89170100,0.97074673,0.86311045,0.96329609,0.68556701,0.99750000,0.81262729,0.94701175,0.86311045,0.88898801,0.87399560
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,46,0.82678984,0.96766744,0.80117668,0.96454609,0.00000000,0.00000000,0.00000000,0.83139535,0.66764723,0.73497025,0.80622227
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,46,0.86580341,0.96766744,0.83306390,0.96454609,0.63929147,0.99250000,0.77766895,0.93438724,0.83306390,0.86339490,0.84487995
BoT_IoT,RFF_LIM_NFST,TCP,known_only,42,0.85219400,0.97459584,0.83041899,0.97503841,0.00000000,0.00000000,0.00000000,0.83333333,0.69201583,0.75253160,0.83193057
