dataset,model,novel_class,test_set,accuracy_with_novel,accuracy_closed_world,balanced_accuracy_with_novel,balanced_accuracy_closed_world,novel_detection_precision,novel_detection_recall,novel_detection_f1,macro_precision,macro_recall,macro_f1,mcc_with_novel
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,0.91514736,0.98793694,0.91386173,0.98811383,0.00000000,0.00000000,0.00000000,0.83333333,0.76155144,0.79577204,0.90022344
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,0.92537673,0.98793694,0.92821811,0.98811383,0.61819969,1.00000000,0.76390418,0.93636661,0.92821811,0.92308940,0.91376307
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,0.86805235,0.97721324,0.84544902,0.97785265,0.00000000,0.00000000,0.00000000,0.83312369,0.70454085,0.75957792,0.84834858
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,0.89911713,0.97721324,0.87120752,0.97785265,0.70071295,1.00000000,0.82389860,0.94990918,0.87120752,0.89689435,0.88234858
BoT_IoT,RFF_LIM_NFST,TCP,known_only,0.85989222,0.97859892,0.84026746,0.97845880,0.00000000,0.00000000,0.00000000,0.83333333,0.70022288,0.75787151,0.83996392
BoT_IoT,RFF_LIM_NFST,TCP,with_novel_class,0.89193643,0.97859892,0.86622288,0.97845880,0.68690430,0.99600000,0.81292165,0.94529874,0.86622288,0.89258255,0.87409779
BoT_IoT,RFF_LIM_NFST,UDP,known_only,0.84264819,0.98075443,0.82282821,0.98137919,0.00000000,0.00000000,0.00000000,0.83302181,0.68569018,0.74896964,0.82227397
BoT_IoT,RFF_LIM_NFST,UDP,with_novel_class,0.87969394,0.98075443,0.85235684,0.98137919,0.66209155,1.00000000,0.79667966,0.94337040,0.85235684,0.88174959,0.86074261
BoT_IoT,RFF_LIM_NFST,scan,known_only,0.84803695,0.98552733,0.82514246,0.98537919,0.00000000,0.00000000,0.00000000,0.83333333,0.68761872,0.74902321,0.82779124
BoT_IoT,RFF_LIM_NFST,scan,with_novel_class,0.88381401,0.98552733,0.85428538,0.98537919,0.66981191,1.00000000,0.80219040,0.94496865,0.85428538,0.88272161,0.86535222
BoT_IoT,RFF_LIM_NFST,theft,known_only,0.85180556,0.97875000,0.82850000,0.97825000,0.00000000,0.00000000,0.00000000,0.83300971,0.69041667,0.75158662,0.83263519
BoT_IoT,RFF_LIM_NFST,theft,with_novel_class,0.87011425,0.97875000,0.85514013,0.97825000,0.50846939,0.98834081,0.67146342,0.91438530,0.85514013,0.86239088,0.85331927
