dataset,model,novel_class,test_set,seed,accuracy_with_novel,accuracy_closed_world,balanced_accuracy_with_novel,balanced_accuracy_closed_world,novel_detection_precision,novel_detection_recall,novel_detection_f1,macro_precision,macro_recall,macro_f1,mcc_with_novel
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,42,0.92049349,0.98903358,0.92060754,0.98901536,0.00000000,0.00000000,0.00000000,0.83333333,0.76717295,0.79886484,0.90612668
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,42,0.93007836,0.98903358,0.93383962,0.98901536,0.63291139,1.00000000,0.77519380,0.93881857,0.93383962,0.92806381,0.91897244
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,43,0.91226868,0.98766278,0.91064595,0.98727304,0.00000000,0.00000000,0.00000000,0.83333333,0.75887162,0.79431530,0.89702173
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,43,0.92284509,0.98766278,0.92553829,0.98727304,0.60975610,1.00000000,0.75757576,0.93495935,0.92553829,0.92057792,0.91094458
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,44,0.92254969,0.98834818,0.92149791,0.98888268,0.00000000,0.00000000,0.00000000,0.83333333,0.76791492,0.79925117,0.90838073
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,44,0.93188668,0.98834818,0.93458159,0.98888268,0.63897764,1.00000000,0.77972710,0.93982961,0.93458159,0.92920569,0.92096492
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,45,0.91638108,0.98697738,0.91488827,0.98763268,0.00000000,0.00000000,0.00000000,0.83333333,0.76240689,0.79626212,0.90153562
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,45,0.92646172,0.98697738,0.92907356,0.98763268,0.62111801,1.00000000,0.76628352,0.93685300,0.92907356,0.92397604,0.91493366
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,46,0.90404387,0.98766278,0.90166899,0.98776536,0.00000000,0.00000000,0.00000000,0.83333333,0.75139083,0.79016675,0.88805246
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,46,0.91561181,0.98766278,0.91805750,0.98776536,0.58823529,1.00000000,0.74074074,0.93137255,0.91805750,0.91362354,0.90299976
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,42,0.85296382,0.97690531,0.82844972,0.97740573,0.00000000,0.00000000,0.00000000,0.83333333,0.69037477,0.75136941,0.83258454
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,42,0.88758093,0.97690531,0.85704143,0.97740573,0.67681895,1.00000000,0.80726539,0.94613649,0.85704143,0.88591364,0.86941272
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,43,0.88606620,0.97151655,0.86788059,0.97464036,0.00000000,0.00000000,0.00000000,0.83333333,0.72323382,0.77210862,0.86731331
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,43,0.91288994,0.97151655,0.88990049,0.97464036,0.72992701,1.00000000,0.84388186,0.95498783,0.88990049,0.91275560,0.89779467
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,44,0.87143957,0.98460354,0.85028631,0.98464036,0.00000000,0.00000000,0.00000000,0.83228512,0.70857193,0.76253775,0.85163760
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,44,0.90170689,0.98460354,0.87523859,0.98464036,0.70671378,1.00000000,0.82815735,0.95007075,0.87523859,0.90056397,0.88512066
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,45,0.86605081,0.97459584,0.84149791,0.97477304,0.00000000,0.00000000,0.00000000,0.83333333,0.70124825,0.75646158,0.84632524
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,45,0.89758682,0.97459584,0.86791492,0.97477304,0.69686411,1.00000000,0.82135524,0.94947735,0.86791492,0.89335412,0.88070722
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,46,0.86374134,0.97844496,0.83913059,0.97780377,0.00000000,0.00000000,0.00000000,0.83333333,0.69927549,0.75541224,0.84388220
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,46,0.89582107,0.97844496,0.86594216,0.97780377,0.69324090,1.00000000,0.81883316,0.94887348,0.86594216,0.89188444,0.87870764
BoT_IoT,RFF_LIM_NFST,TCP,known_only,42,0.84141647,0.97690531,0.81581704,0.97678073,0.00000000,0.00000000,0.00000000,0.83333333,0.67984753,0.74402254,0.82091589
BoT_IoT,RFF_LIM_NFST,TCP,with_novel_class,42,0.87757504,0.97690531,0.84568087,0.97678073,0.65894040,0.99500000,0.79282869,0.93957250,0.84568087,0.87520532,0.85803036
BoT_IoT,RFF_LIM_NFST,TCP,known_only,43,0.85912240,0.97305620,0.84854399,0.97539804,0.00000000,0.00000000,0.00000000,0.83333333,0.70712000,0.76399624,0.83933987
BoT_IoT,RFF_LIM_NFST,TCP,with_novel_class,43,0.89228958,0.97305620,0.87378666,0.97539804,0.68610635,1.00000000,0.81383520,0.94768439,0.87378666,0.89963544,0.87478852
BoT_IoT,RFF_LIM_NFST,TCP,known_only,44,0.87605851,0.98229407,0.85805168,0.98178073,0.00000000,0.00000000,0.00000000,0.83333333,0.71504306,0.76787730,0.85661201
BoT_IoT,RFF_LIM_NFST,TCP,with_novel_class,44,0.90523838,0.98229407,0.88170973,0.98178073,0.71301248,1.00000000,0.83246618,0.95216875,0.88170973,0.90662167,0.88911435
BoT_IoT,RFF_LIM_NFST,TCP,known_only,45,0.86836028,0.98229407,0.85038059,0.98178073,0.00000000,0.00000000,0.00000000,0.83333333,0.70865049,0.76320391,0.84870573
BoT_IoT,RFF_LIM_NFST,TCP,with_novel_class,45,0.89582107,0.98229407,0.87281716,0.98178073,0.69734513,0.98500000,0.81658031,0.94054851,0.87281716,0.89637645,0.87776998
BoT_IoT,RFF_LIM_NFST,TCP,known_only,46,0.85450346,0.97844496,0.82854399,0.97655377,0.00000000,0.00000000,0.00000000,0.83333333,0.69045333,0.75025756,0.83424612
BoT_IoT,RFF_LIM_NFST,TCP,with_novel_class,46,0.88875809,0.97844496,0.85712000,0.97655377,0.67911715,1.00000000,0.80889788,0.94651952,0.85712000,0.88507387,0.87078576
BoT_IoT,RFF_LIM_NFST,UDP,known_only,42,0.83987683,0.98075443,0.81532472,0.98178073,0.00000000,0.00000000,0.00000000,0.83333333,0.67943727,0.74423160,0.81938523
BoT_IoT,RFF_LIM_NFST,UDP,with_novel_class,42,0.87757504,0.98075443,0.84610393,0.98178073,0.65789474,1.00000000,0.79365079,0.94298246,0.84610393,0.87650674,0.85839258
