dataset,model,novel_class,test_set,seed,accuracy_with_novel,accuracy_closed_world,balanced_accuracy_with_novel,balanced_accuracy_closed_world,novel_detection_precision,novel_detection_recall,novel_detection_f1,macro_precision,macro_recall,macro_f1,mcc_with_novel
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,42,0.90747087,0.98629198,0.90282472,0.98700768,0.00000000,0.00000000,0.00000000,0.83333333,0.75235393,0.79054683,0.89174005
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,42,0.91862568,0.98629198,0.91902060,0.98700768,0.59701493,1.00000000,0.74766355,0.93283582,0.91902060,0.91515743,0.90628435
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,43,0.91226868,0.99108979,0.90916899,0.99138268,0.00000000,0.00000000,0.00000000,0.83333333,0.75764083,0.79357501,0.89699426
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,43,0.92224231,0.99108979,0.92347416,0.99138268,0.60856269,0.99500000,0.75521822,0.93421039,0.92347416,0.91918493,0.91013635
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,44,0.92049349,0.99246059,0.91617668,0.99312500,0.00000000,0.00000000,0.00000000,0.83333333,0.76348056,0.79672216,0.90602863
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,44,0.93007836,0.99246059,0.93014723,0.99312500,0.63291139,1.00000000,0.77519380,0.93881857,0.93014723,0.92592113,0.91891236
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,45,0.90747087,0.98971899,0.90479399,0.99062500,0.00000000,0.00000000,0.00000000,0.83333333,0.75399500,0.79160550,0.89175650
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,45,0.91862568,0.98971899,0.92066166,0.99062500,0.59701493,1.00000000,0.74766355,0.93283582,0.92066166,0.91621610,0.90628906
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,46,0.90541467,0.99040439,0.90193436,0.99075768,0.00000000,0.00000000,0.00000000,0.83333333,0.75161196,0.79023310,0.88951466
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,46,0.91681736,0.99040439,0.91827863,0.99075768,0.59171598,1.00000000,0.74349442,0.93195266,0.91827863,0.91414884,0.90430487
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,42,0.82140108,0.98383372,0.78901885,0.98625000,0.00000000,0.00000000,0.00000000,0.83333333,0.65751571,0.72846854,0.80078650
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,42,0.86344909,0.98383372,0.82418238,0.98625000,0.63291139,1.00000000,0.77519380,0.93881857,0.82418238,0.85766750,0.84284868
