dataset,model,novel_class,test_set,accuracy_with_novel,accuracy_closed_world,balanced_accuracy_with_novel,balanced_accuracy_closed_world,novel_detection_precision,novel_detection_recall,novel_detection_f1,macro_precision,macro_recall,macro_f1,mcc_with_novel
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,0.91624400,0.99013023,0.91702793,0.99060615,0.00000000,0.00000000,0.00000000,0.83313840,0.76418994,0.79693157,0.90164893
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,0.92622061,0.99013023,0.93068994,0.99060615,0.62258853,0.99900000,0.76662478,0.93679387,0.93068994,0.92465040,0.91482168
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,0.91301001,0.98029253,0.91484707,0.98079190,0.00000000,0.00000000,0.00000000,0.83142952,0.76237256,0.79500866,0.89696014
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,0.91712772,0.98029253,0.91745589,0.98079190,0.76997990,0.93050000,0.84235503,0.93620280,0.91745589,0.92274129,0.90064377
BoT_IoT,RFF_LIM_NFST,TCP,known_only,0.91978445,0.98306390,0.92138059,0.98354190,0.00000000,0.00000000,0.00000000,0.82916519,0.76781716,0.79698297,0.90427495
BoT_IoT,RFF_LIM_NFST,TCP,with_novel_class,0.92065921,0.98306390,0.92173382,0.98354190,0.78675021,0.92350000,0.84896415,0.93534912,0.92173382,0.92492640,0.90469384
BoT_IoT,RFF_LIM_NFST,UDP,known_only,0.91839877,0.98491147,0.92061941,0.98508729,0.00000000,0.00000000,0.00000000,0.83081368,0.76718284,0.79738851,0.90290843
BoT_IoT,RFF_LIM_NFST,UDP,with_novel_class,0.88428487,0.98491147,0.89609951,0.98508729,0.74511766,0.77350000,0.75547154,0.89961157,0.89609951,0.88940113,0.86233114
BoT_IoT,RFF_LIM_NFST,scan,known_only,0.91685912,0.99183988,0.91768436,0.99200768,0.00000000,0.00000000,0.00000000,0.83145833,0.76473696,0.79617837,0.90124836
BoT_IoT,RFF_LIM_NFST,scan,with_novel_class,0.92266039,0.99183988,0.92165363,0.99200768,0.78098195,0.94150000,0.85282322,0.94201184,0.92165363,0.92759492,0.90749223
BoT_IoT,RFF_LIM_NFST,theft,known_only,0.90333333,0.98319444,0.90725000,0.98250000,0.00000000,0.00000000,0.00000000,0.82898987,0.75604167,0.79033383,0.88701159
BoT_IoT,RFF_LIM_NFST,theft,with_novel_class,0.91040289,0.98319444,0.91538397,0.98250000,0.61311575,0.95605381,0.74657008,0.92491541,0.91538397,0.91159613,0.89595862
