dataset,model,novel_class,test_set,seed,accuracy_with_novel,accuracy_closed_world,balanced_accuracy_with_novel,balanced_accuracy_closed_world,novel_detection_precision,novel_detection_recall,novel_detection_f1,macro_precision,macro_recall,macro_f1,mcc_with_novel
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,42,0.91569568,0.98629198,0.91623254,0.98651536,0.00000000,0.00000000,0.00000000,0.83333333,0.76352712,0.79656792,0.90101714
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,42,0.92525618,0.98629198,0.92936045,0.98651536,0.61801242,0.99500000,0.76245211,0.93578896,0.92936045,0.92338344,0.91365344
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,43,0.89444825,0.99108979,0.89538059,0.99138268,0.00000000,0.00000000,0.00000000,0.83333333,0.74615049,0.78710858,0.87795414
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,43,0.90717300,0.99108979,0.91281716,0.99138268,0.56497175,1.00000000,0.72202166,0.92749529,0.91281716,0.90744552,0.89397469
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,44,0.91980809,0.99246059,0.91850559,0.99312500,0.00000000,0.00000000,0.00000000,0.83333333,0.76542132,0.79771776,0.90543164
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,44,0.92947559,0.99246059,0.93208799,0.99312500,0.63091483,1.00000000,0.77369439,0.93848580,0.93208799,0.92666682,0.91835815
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,45,0.92871830,0.99040439,0.93056913,0.99125000,0.00000000,0.00000000,0.00000000,0.83235867,0.77547428,0.80271792,0.91535928
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,45,0.93731163,0.99040439,0.94214095,0.99125000,0.66006601,1.00000000,0.79522863,0.94236968,0.94214095,0.93525603,0.92708882
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,46,0.92254969,0.99040439,0.92445182,0.99075768,0.00000000,0.00000000,0.00000000,0.83333333,0.77037651,0.80054567,0.90848243
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,46,0.93188668,0.99040439,0.93704318,0.99075768,0.63897764,1.00000000,0.77972710,0.93982961,0.93704318,0.93050019,0.92103330
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,42,0.91608930,0.98383372,0.91805168,0.98625000,0.00000000,0.00000000,0.00000000,0.83333333,0.76504306,0.79743301,0.90043938
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,42,0.93231313,0.98383372,0.92920973,0.98625000,0.78330020,0.98500000,0.87264673,0.95815367,0.92920973,0.94005122,0.91952707
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,43,0.92609700,0.97074673,0.92738827,0.97339036,0.00000000,0.00000000,0.00000000,0.82708333,0.77282356,0.79866455,0.91117228
