dataset,model,novel_class,test_set,accuracy_with_novel,accuracy_closed_world,balanced_accuracy_with_novel,balanced_accuracy_closed_world,novel_detection_precision,novel_detection_recall,novel_detection_f1,macro_precision,macro_recall,macro_f1,mcc_with_novel
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,0.91747772,0.98917066,0.91588827,0.98973115,0.00000000,0.00000000,0.00000000,0.83333333,0.76324022,0.79652138,0.90289500
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,0.92742616,0.98917066,0.92990689,0.98973115,0.62529039,1.00000000,0.76913593,0.93754840,0.92990689,0.92471071,0.91610613
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,0.91778291,0.98229407,0.91914246,0.98246997,0.00000000,0.00000000,0.00000000,0.83039918,0.76595205,0.79647561,0.90209170
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,0.87651560,0.98229407,0.88970205,0.98246997,0.73178509,0.74250000,0.73016384,0.89587066,0.88970205,0.88220129,0.85452557
BoT_IoT,RFF_LIM_NFST,TCP,known_only,0.91978445,0.98367975,0.92133170,0.98433729,0.00000000,0.00000000,0.00000000,0.82975075,0.76777642,0.79715389,0.90427491
BoT_IoT,RFF_LIM_NFST,TCP,with_novel_class,0.92065921,0.98367975,0.92169309,0.98433729,0.78574266,0.92350000,0.84835725,0.93649537,0.92169309,0.92501118,0.90479642
BoT_IoT,RFF_LIM_NFST,UDP,known_only,0.92548114,0.98475751,0.92874791,0.98516690,0.00000000,0.00000000,0.00000000,0.83032099,0.77395659,0.80088630,0.91081016
BoT_IoT,RFF_LIM_NFST,UDP,with_novel_class,0.88652148,0.98475751,0.90062325,0.98516690,0.76308883,0.76000000,0.75862712,0.89874400,0.90062325,0.89092103,0.86498875
BoT_IoT,RFF_LIM_NFST,scan,known_only,0.91516551,0.99214781,0.91613897,0.99206075,0.00000000,0.00000000,0.00000000,0.83184552,0.76344914,0.79576416,0.89946710
BoT_IoT,RFF_LIM_NFST,scan,with_novel_class,0.92948793,0.99214781,0.92611581,0.99206075,0.78345298,0.97600000,0.86876443,0.95300841,0.92611581,0.93578203,0.91603140
BoT_IoT,RFF_LIM_NFST,theft,known_only,0.90847222,0.98625000,0.91312500,0.98537500,0.00000000,0.00000000,0.00000000,0.83078543,0.76093750,0.79399627,0.89274022
BoT_IoT,RFF_LIM_NFST,theft,with_novel_class,0.91870114,0.98625000,0.92506306,0.98537500,0.63016469,0.98475336,0.76811394,0.93241417,0.92506306,0.92031309,0.90595166
