dataset,model,novel_class,test_set,accuracy_with_novel,accuracy_closed_world,balanced_accuracy_with_novel,balanced_accuracy_closed_world,novel_detection_precision,novel_detection_recall,novel_detection_f1,macro_precision,macro_recall,macro_f1,mcc_with_novel
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,0.97176148,0.98930775,0.97100070,0.98985615,0.00000000,0.00000000,0.00000000,0.83218736,0.80916725,0.82045962,0.96521814
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,0.95370705,0.98930775,0.94616725,0.98985615,0.80353905,0.82200000,0.81163824,0.94860925,0.94616725,0.94675876,0.94415182
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,0.95165512,0.98414165,0.94562570,0.98438268,0.00000000,0.00000000,0.00000000,0.83193558,0.78802142,0.80895157,0.94081895
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,0.95479694,0.98414165,0.94885475,0.98438268,0.86536300,0.96500000,0.91141999,0.96537645,0.94885475,0.95513545,0.94554610
BoT_IoT,RFF_LIM_NFST,TCP,known_only,0.94765204,0.98460354,0.94090223,0.98507961,0.00000000,0.00000000,0.00000000,0.83185746,0.78408520,0.80675234,0.93612583
BoT_IoT,RFF_LIM_NFST,TCP,with_novel_class,0.95220718,0.98460354,0.94525186,0.98507961,0.85388544,0.96700000,0.90670196,0.96314305,0.94525186,0.95249275,0.94224988
BoT_IoT,RFF_LIM_NFST,UDP,known_only,0.94626636,0.98337182,0.93950070,0.98427654,0.00000000,0.00000000,0.00000000,0.83200214,0.78291725,0.80627052,0.93445949
BoT_IoT,RFF_LIM_NFST,UDP,with_novel_class,0.93560918,0.98337182,0.93308392,0.98427654,0.84093706,0.90100000,0.86887587,0.93808055,0.93308392,0.93372155,0.92205446
BoT_IoT,RFF_LIM_NFST,scan,known_only,0.95981524,0.98799076,0.95130377,0.98725768,0.00000000,0.00000000,0.00000000,0.83211407,0.79275314,0.81146636,0.95048668
BoT_IoT,RFF_LIM_NFST,scan,with_novel_class,0.96586227,0.98799076,0.95700314,0.98725768,0.88667762,0.98550000,0.93319345,0.97666933,0.95700314,0.96541386,0.95874695
BoT_IoT,RFF_LIM_NFST,theft,known_only,0.94958333,0.98083333,0.94225000,0.97862500,0.00000000,0.00000000,0.00000000,0.83097559,0.78520833,0.80713902,0.93871120
BoT_IoT,RFF_LIM_NFST,theft,with_novel_class,0.95261575,0.98083333,0.94724122,0.97862500,0.75846672,0.97219731,0.85182216,0.95416004,0.94724122,0.94751631,0.94369842
