dataset,model,novel_class,test_set,seed,accuracy_with_novel,accuracy_closed_world,balanced_accuracy_with_novel,balanced_accuracy_closed_world,novel_detection_precision,novel_detection_recall,novel_detection_f1,macro_precision,macro_recall,macro_f1,mcc_with_novel
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,42,0.97052776,0.98971899,0.96770950,0.98964036,0.00000000,0.00000000,0.00000000,0.83333333,0.80642458,0.81956422,0.96376238
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,42,0.94032550,0.98971899,0.92642458,0.98964036,0.77005348,0.72000000,0.74418605,0.93567622,0.92642458,0.92997946,0.92809065
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,43,0.97258396,0.98697738,0.97204609,0.98812500,0.00000000,0.00000000,0.00000000,0.83333333,0.81003841,0.82146564,0.96625320
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,43,0.95418927,0.98697738,0.94670507,0.98812500,0.80392157,0.82000000,0.81188119,0.94930611,0.94670507,0.94758083,0.94468712
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,44,0.97532557,0.99040439,0.97454609,0.99075768,0.00000000,0.00000000,0.00000000,0.83228512,0.81212174,0.82204906,0.96947902
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,44,0.97408077,0.99040439,0.97295507,0.99075768,0.85022026,0.96500000,0.90398126,0.97036989,0.97295507,0.97090963,0.96883111
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,45,0.96641535,0.99040439,0.96642109,0.99125000,0.00000000,0.00000000,0.00000000,0.82865169,0.80535091,0.81679043,0.95868566
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,45,0.95117541,0.99040439,0.94535091,0.99125000,0.79245283,0.84000000,0.81553398,0.94416671,0.94535091,0.94431109,0.94106725
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,46,0.97395476,0.98903358,0.97428073,0.98950768,0.00000000,0.00000000,0.00000000,0.83333333,0.81190061,0.82242876,0.96791046
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,46,0.94876432,0.98903358,0.93940061,0.98950768,0.80104712,0.76500000,0.78260870,0.94352731,0.93940061,0.94101280,0.93808299
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,42,0.95073133,0.98383372,0.94642109,0.98388268,0.00000000,0.00000000,0.00000000,0.83279396,0.78868424,0.80995904,0.93967679
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,42,0.96056504,0.98383372,0.95410091,0.98388268,0.86304348,0.99250000,0.92325581,0.97379363,0.95410091,0.96245056,0.95255114
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,43,0.95765974,0.97459584,0.95592877,0.97763268,0.00000000,0.00000000,0.00000000,0.83123515,0.79660731,0.81336339,0.94781997
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,43,0.93584461,0.97459584,0.94077398,0.97763268,0.87153652,0.86500000,0.86825596,0.93618107,0.94077398,0.93622004,0.92232042
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,44,0.96766744,0.98845266,0.96428073,0.98875000,0.00000000,0.00000000,0.00000000,0.83184170,0.80356727,0.81734294,0.95981957
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,44,0.96821660,0.98845266,0.96523394,0.98875000,0.90654206,0.97000000,0.93719807,0.97269991,0.96523394,0.96844225,0.96134370
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,45,0.93918399,0.98845266,0.93142109,0.98638268,0.00000000,0.00000000,0.00000000,0.83227848,0.77618424,0.80261537,0.92620264
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,45,0.95291348,0.98845266,0.94243424,0.98638268,0.83823529,0.99750000,0.91095890,0.97143612,0.94243424,0.95418204,0.94366941
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,46,0.94303310,0.98537336,0.93007682,0.98526536,0.00000000,0.00000000,0.00000000,0.83152859,0.77506401,0.80147715,0.93057578
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,46,0.95644497,0.98537336,0.94173068,0.98526536,0.84745763,1.00000000,0.91743119,0.97277153,0.94173068,0.95438235,0.94784586
BoT_IoT,RFF_LIM_NFST,TCP,known_only,42,0.94688222,0.98768283,0.94079609,0.98776536,0.00000000,0.00000000,0.00000000,0.83333333,0.78399674,0.80755195,0.93526582
BoT_IoT,RFF_LIM_NFST,TCP,with_novel_class,42,0.94761624,0.98768283,0.94233007,0.98776536,0.84632517,0.95000000,0.89517079,0.95381791,0.94233007,0.94722841,0.93646512
BoT_IoT,RFF_LIM_NFST,TCP,known_only,43,0.95150115,0.97690531,0.95240573,0.98000000,0.00000000,0.00000000,0.00000000,0.83168846,0.79367144,0.81208603,0.94069381
BoT_IoT,RFF_LIM_NFST,TCP,with_novel_class,43,0.94643908,0.97690531,0.94867144,0.98000000,0.85912240,0.93000000,0.89315726,0.94975557,0.94867144,0.94820866,0.93498068
