dataset,model,novel_class,test_set,seed,accuracy_with_novel,accuracy_closed_world,balanced_accuracy_with_novel,balanced_accuracy_closed_world,novel_detection_precision,novel_detection_recall,novel_detection_f1,macro_precision,macro_recall,macro_f1,mcc_with_novel
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,42,0.97669637,0.98971899,0.97481145,0.98964036,0.00000000,0.00000000,0.00000000,0.83333333,0.81234288,0.82265611,0.97119469
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,42,0.94273659,0.98971899,0.92817621,0.98964036,0.80346821,0.69500000,0.74530831,0.93893418,0.92817621,0.93204270,0.93109915
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,43,0.97601097,0.98903358,0.97517109,0.99000000,0.00000000,0.00000000,0.00000000,0.83280591,0.81264257,0.82253906,0.97035959
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,43,0.95057263,0.98903358,0.94014257,0.99000000,0.81818182,0.76500000,0.79069767,0.94544395,0.94014257,0.94210073,0.94038688
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,44,0.98355038,0.99108979,0.98352304,0.99138268,0.00000000,0.00000000,0.00000000,0.83135329,0.81960254,0.82540964,0.97950240
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,44,0.97528632,0.99108979,0.97210254,0.99138268,0.89705882,0.91500000,0.90594059,0.97231342,0.97210254,0.97206396,0.97011851
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,45,0.97532557,0.98766278,0.97553073,0.98875000,0.00000000,0.00000000,0.00000000,0.82708558,0.81294227,0.81991619,0.96933714
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,45,0.95599759,0.98766278,0.94877561,0.98875000,0.85340314,0.81500000,0.83375959,0.94956453,0.94877561,0.94883029,0.94680948
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,46,0.98080877,0.98903358,0.98102304,0.98950768,0.00000000,0.00000000,0.00000000,0.83094146,0.81751920,0.82409502,0.97617936
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,46,0.94936709,0.98903358,0.93751920,0.98950768,0.85207101,0.72000000,0.78048780,0.94587785,0.93751920,0.94019039,0.93907002
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,42,0.95919938,0.97459584,0.95642109,0.97589036,0.00000000,0.00000000,0.00000000,0.82841146,0.79701757,0.81239965,0.94949159
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,42,0.95879929,0.97459584,0.95660091,0.97589036,0.88863109,0.95750000,0.92178099,0.96049675,0.95660091,0.95817635,0.94986619
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,43,0.96458814,0.97228637,0.96441341,0.97513268,0.00000000,0.00000000,0.00000000,0.82699694,0.80367784,0.81502600,0.95597191
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,43,0.92171866,0.97228637,0.93409451,0.97513268,0.89173789,0.78250000,0.83355526,0.91967870,0.93409451,0.92333806,0.90604928
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,44,0.97536567,0.98768283,0.97352304,0.98812500,0.00000000,0.00000000,0.00000000,0.83185408,0.81126920,0.82138706,0.96918312
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,44,0.95821071,0.98768283,0.96168587,0.98812500,0.92327366,0.90250000,0.91276865,0.95216720,0.96168587,0.95639170,0.94914152
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,45,0.95996921,0.98691301,0.95464036,0.98450768,0.00000000,0.00000000,0.00000000,0.82948994,0.79553364,0.81183703,0.95036610
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,45,0.96350795,0.98691301,0.95803364,0.98450768,0.89449541,0.97500000,0.93301435,0.96973428,0.95803364,0.96305137,0.95567364
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,46,0.96227868,0.98537336,0.95481145,0.98651536,0.00000000,0.00000000,0.00000000,0.82937789,0.79567621,0.81203046,0.95318657
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,46,0.92525015,0.98537336,0.92984288,0.98651536,0.87738420,0.80500000,0.83963494,0.91864867,0.92984288,0.92045906,0.91007433
BoT_IoT,RFF_LIM_NFST,TCP,known_only,42,0.95996921,0.98383372,0.95691341,0.98401536,0.00000000,0.00000000,0.00000000,0.83220721,0.79742784,0.81434777,0.95064043
BoT_IoT,RFF_LIM_NFST,TCP,with_novel_class,42,0.95585639,0.98383372,0.95451117,0.98401536,0.88084112,0.94250000,0.91062802,0.95806626,0.95451117,0.95583791,0.94626201
BoT_IoT,RFF_LIM_NFST,TCP,known_only,43,0.95765974,0.97305620,0.96026536,0.97700768,0.00000000,0.00000000,0.00000000,0.82149885,0.80022114,0.81048992,0.94749690
BoT_IoT,RFF_LIM_NFST,TCP,with_novel_class,43,0.94055327,0.97305620,0.94772114,0.97700768,0.89393939,0.88500000,0.88944724,0.93673826,0.94772114,0.94032499,0.92793462
