dataset,model,novel_class,test_set,seed,accuracy_with_novel,accuracy_closed_world,balanced_accuracy_with_novel,balanced_accuracy_closed_world,novel_detection_precision,novel_detection_recall,novel_detection_f1,macro_precision,macro_recall,macro_f1,mcc_with_novel
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,42,0.92871830,0.98286498,0.92663059,0.98240573,0.00000000,0.00000000,0.00000000,0.83280255,0.77219216,0.80109144,0.91528102
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,42,0.93610609,0.98286498,0.93719216,0.98240573,0.65780731,0.99000000,0.79041916,0.94138561,0.93719216,0.93231047,0.92548865
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,43,0.89239205,0.98903358,0.88809008,0.98950768,0.00000000,0.00000000,0.00000000,0.83333333,0.74007507,0.78366147,0.87554914
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,43,0.90536468,0.98903358,0.90674174,0.98950768,0.56022409,1.00000000,0.71813285,0.92670401,0.90674174,0.90335028,0.89187614
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,44,0.91226868,0.98560658,0.91015363,0.98490573,0.00000000,0.00000000,0.00000000,0.83333333,0.75846136,0.79407226,0.89701154
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,44,0.92224231,0.98560658,0.92429469,0.98490573,0.60856269,0.99500000,0.75521822,0.93371878,0.92429469,0.91947941,0.91015087
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,45,0.92597670,0.98560658,0.92856145,0.98589036,0.00000000,0.00000000,0.00000000,0.83333333,0.77380121,0.80233365,0.91234434
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,45,0.93490054,0.98560658,0.94046788,0.98589036,0.64935065,1.00000000,0.78740157,0.94155844,0.94046788,0.93356724,0.92442373
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,46,0.92117889,0.98834818,0.92024791,0.98839036,0.00000000,0.00000000,0.00000000,0.83333333,0.76687325,0.79865372,0.90688148
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,46,0.93007836,0.98834818,0.93270659,0.98839036,0.63375796,0.99500000,0.77431907,0.93841500,0.93270659,0.92744704,0.91885587
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,42,0.90454196,0.97459584,0.89894204,0.97602304,0.00000000,0.00000000,0.00000000,0.82988506,0.74911837,0.78717050,0.88718600
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,42,0.92525015,0.97459584,0.91453503,0.97602304,0.76640927,0.99250000,0.86492375,0.95432401,0.91453503,0.92985190,0.91144100
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,43,0.92455735,0.96997691,0.92322277,0.97339036,0.00000000,0.00000000,0.00000000,0.82435130,0.76935230,0.79493861,0.90916058
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,43,0.87168923,0.96997691,0.88601897,0.97339036,0.75880759,0.70000000,0.72821847,0.88442115,0.88601897,0.87308178,0.84775552
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,44,0.92609700,0.98229407,0.92810754,0.98276536,0.00000000,0.00000000,0.00000000,0.83333333,0.77342295,0.80221302,0.91157831
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,44,0.93761036,0.98229407,0.93592295,0.98276536,0.80246914,0.97500000,0.88036117,0.95679012,0.93592295,0.94389662,0.92534518
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,45,0.92532717,0.97459584,0.92234986,0.97151536,0.00000000,0.00000000,0.00000000,0.82770270,0.76862488,0.79706747,0.91011822
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,45,0.93819894,0.97459584,0.93195822,0.97151536,0.80991736,0.98000000,0.88687783,0.95575965,0.93195822,0.94163002,0.92587351
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,46,0.89992302,0.98152425,0.90193436,0.98066341,0.00000000,0.00000000,0.00000000,0.82248220,0.75161196,0.78464153,0.88174574
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,46,0.88287228,0.98152425,0.88952863,0.98066341,0.73555556,0.82750000,0.77882353,0.89790889,0.88952863,0.88743210,0.85885577
BoT_IoT,RFF_LIM_NFST,TCP,known_only,42,0.90377213,0.97536567,0.90538059,0.97490573,0.00000000,0.00000000,0.00000000,0.83220721,0.75448382,0.79141624,0.88673447
BoT_IoT,RFF_LIM_NFST,TCP,with_novel_class,42,0.91583284,0.97536567,0.91365049,0.97490573,0.75494071,0.95500000,0.84326711,0.94109619,0.91365049,0.92379695,0.89945109
BoT_IoT,RFF_LIM_NFST,TCP,known_only,43,0.90069284,0.96997691,0.90738827,0.97214036,0.00000000,0.00000000,0.00000000,0.81541559,0.75615689,0.78349824,0.88201518
BoT_IoT,RFF_LIM_NFST,TCP,with_novel_class,43,0.83225427,0.96997691,0.85782356,0.97214036,0.68926554,0.61000000,0.64721485,0.85882706,0.85782356,0.84178795,0.80307903
BoT_IoT,RFF_LIM_NFST,TCP,known_only,44,0.88914550,0.98691301,0.89108240,0.98763268,0.00000000,0.00000000,0.00000000,0.83008658,0.74256867,0.78356065,0.87078130
BoT_IoT,RFF_LIM_NFST,TCP,with_novel_class,44,0.89111242,0.98691301,0.89215200,0.98763268,0.71800000,0.89750000,0.79777778,0.91539316,0.89215200,0.89801041,0.86950642
BoT_IoT,RFF_LIM_NFST,TCP,known_only,45,0.90454196,0.97998460,0.90498254,0.97776536,0.00000000,0.00000000,0.00000000,0.83103448,0.75415212,0.79036334,0.88766159
BoT_IoT,RFF_LIM_NFST,TCP,with_novel_class,45,0.90759270,0.97998460,0.90706878,0.97776536,0.75051125,0.91750000,0.82564679,0.92698143,0.90706878,0.91371281,0.88892002
BoT_IoT,RFF_LIM_NFST,TCP,known_only,46,0.91916859,0.97844496,0.92055168,0.97829609,0.00000000,0.00000000,0.00000000,0.82235529,0.76712640,0.79304673,0.90297181
BoT_IoT,RFF_LIM_NFST,TCP,with_novel_class,46,0.88522660,0.97844496,0.89629306,0.97829609,0.76732673,0.77500000,0.77114428,0.89572177,0.89629306,0.88724961,0.86261779
BoT_IoT,RFF_LIM_NFST,UDP,known_only,42,0.92686682,0.98383372,0.91907472,0.98388268,0.00000000,0.00000000,0.00000000,0.83108108,0.76589560,0.79685974,0.91201895
BoT_IoT,RFF_LIM_NFST,UDP,with_novel_class,42,0.92583873,0.98383372,0.91964560,0.98388268,0.79870130,0.92250000,0.85614849,0.93930167,0.91964560,0.92749083,0.91006642
BoT_IoT,RFF_LIM_NFST,UDP,known_only,43,0.91685912,0.96997691,0.91979399,0.97178073,0.00000000,0.00000000,0.00000000,0.82413709,0.76649500,0.79353452,0.90053471
BoT_IoT,RFF_LIM_NFST,UDP,with_novel_class,43,0.86756916,0.96997691,0.88441166,0.97178073,0.74278215,0.70750000,0.72471191,0.88129324,0.88441166,0.87174353,0.84235674
BoT_IoT,RFF_LIM_NFST,UDP,known_only,44,0.90762125,0.98614319,0.91113827,0.98638268,0.00000000,0.00000000,0.00000000,0.82802548,0.75928189,0.79179758,0.89074475
BoT_IoT,RFF_LIM_NFST,UDP,with_novel_class,44,0.89287816,0.98614319,0.90011522,0.98638268,0.74613687,0.84500000,0.79249707,0.90670013,0.90011522,0.89773380,0.87103520
BoT_IoT,RFF_LIM_NFST,UDP,known_only,45,0.91916859,0.97613549,0.91971718,0.97365573,0.00000000,0.00000000,0.00000000,0.82467532,0.76643098,0.79441412,0.90306843
BoT_IoT,RFF_LIM_NFST,UDP,with_novel_class,45,0.83578576,0.97613549,0.86059765,0.97365573,0.69969040,0.56500000,0.62517289,0.85712482,0.86059765,0.84329237,0.80799907
BoT_IoT,RFF_LIM_NFST,UDP,known_only,46,0.93379523,0.97613549,0.93216131,0.97566341,0.00000000,0.00000000,0.00000000,0.82222222,0.77680109,0.79833673,0.91949978
BoT_IoT,RFF_LIM_NFST,UDP,with_novel_class,46,0.87992937,0.97613549,0.89430109,0.97566341,0.78991597,0.70500000,0.74504624,0.88901426,0.89430109,0.88043898,0.85786005
BoT_IoT,RFF_LIM_NFST,scan,known_only,42,0.91301001,0.98306390,0.90960545,0.98092877,0.00000000,0.00000000,0.00000000,0.83010753,0.75800454,0.79191000,0.89657740
BoT_IoT,RFF_LIM_NFST,scan,with_novel_class,42,0.92171866,0.98306390,0.91633787,0.98092877,0.77551020,0.95000000,0.85393258,0.94068027,0.91633787,0.92462931,0.90612470
