dataset,model,novel_class,test_set,accuracy_with_novel,accuracy_closed_world,balanced_accuracy_with_novel,balanced_accuracy_closed_world,novel_detection_precision,novel_detection_recall,novel_detection_f1,macro_precision,macro_recall,macro_f1,mcc_with_novel
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,0.66374229,0.98204249,0.67378073,0.98185265,0.00000000,0.00000000,0.00000000,0.83315603,0.56148394,0.66637645,0.66450584
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,0.70415913,0.98204249,0.72798394,0.98185265,0.28963478,0.99900000,0.44902986,0.88126976,0.72798394,0.74116506,0.69475668
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,0.64911470,0.97059276,0.62711453,0.96861034,0.00000000,0.00000000,0.00000000,0.83314501,0.52259544,0.62997432,0.64755271
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,0.73160683,0.97059276,0.68917877,0.96861034,0.46747539,0.99950000,0.63698611,0.91081603,0.68917877,0.73604750,0.70503340
BoT_IoT,RFF_LIM_NFST,TCP,known_only,0.65558122,0.97105466,0.63252374,0.96888687,0.00000000,0.00000000,0.00000000,0.83333333,0.52710312,0.63454403,0.65264310
BoT_IoT,RFF_LIM_NFST,TCP,with_novel_class,0.73584461,0.97105466,0.69318645,0.96888687,0.47136433,0.99650000,0.63993674,0.90901110,0.69318645,0.74075097,0.70871920
BoT_IoT,RFF_LIM_NFST,UDP,known_only,0.61339492,0.96843726,0.59606494,0.96747765,0.00000000,0.00000000,0.00000000,0.83333333,0.49672079,0.60772322,0.61920575
BoT_IoT,RFF_LIM_NFST,UDP,with_novel_class,0.70359035,0.96843726,0.66280412,0.96747765,0.44264808,0.99650000,0.61295738,0.90362617,0.66280412,0.70940538,0.67657620
BoT_IoT,RFF_LIM_NFST,scan,known_only,0.53287144,0.97613549,0.52711522,0.97284916,0.00000000,0.00000000,0.00000000,0.83333333,0.43926269,0.56597142,0.55609557
BoT_IoT,RFF_LIM_NFST,scan,with_novel_class,0.64284873,0.97613549,0.60592935,0.97284916,0.39791210,1.00000000,0.56911235,0.89965202,0.60592935,0.66082347,0.61585472
BoT_IoT,RFF_LIM_NFST,theft,known_only,0.57680556,0.96375000,0.54975000,0.95950000,0.00000000,0.00000000,0.00000000,0.83315412,0.45812500,0.57894290,0.59035727
BoT_IoT,RFF_LIM_NFST,theft,with_novel_class,0.63355382,0.96375000,0.62479167,0.95950000,0.26821073,1.00000000,0.42291082,0.87785591,0.62479167,0.64942804,0.62668746
