dataset,model,novel_class,test_set,accuracy_with_novel,accuracy_closed_world,balanced_accuracy_with_novel,balanced_accuracy_closed_world,novel_detection_precision,novel_detection_recall,novel_detection_f1,macro_precision,macro_recall,macro_f1,mcc_with_novel
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,0.95202193,0.98875942,0.94866830,0.98915922,0.00000000,0.00000000,0.00000000,0.83333333,0.79055691,0.81123769,0.94191033
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,0.95768535,0.98875942,0.95705691,0.98915922,0.74097977,0.99900000,0.85073089,0.95672278,0.95705691,0.95297418,0.95011447
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,0.90300231,0.97998460,0.88477095,0.98049651,0.00000000,0.00000000,0.00000000,0.83333333,0.73730912,0.78043344,0.88566334
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,0.92548558,0.97998460,0.90372579,0.98049651,0.76053697,0.99850000,0.86332243,0.95924916,0.90372579,0.92401923,0.91205667
BoT_IoT,RFF_LIM_NFST,TCP,known_only,0.88945343,0.98337182,0.87024860,0.98446229,0.00000000,0.00000000,0.00000000,0.83321678,0.72520717,0.77344333,0.87088276
BoT_IoT,RFF_LIM_NFST,TCP,with_novel_class,0.91547969,0.98337182,0.89187384,0.98446229,0.73628877,1.00000000,0.84806602,0.95593158,0.89187384,0.91478767,0.90069861
BoT_IoT,RFF_LIM_NFST,UDP,known_only,0.88329484,0.98137028,0.86525628,0.98164804,0.00000000,0.00000000,0.00000000,0.83333333,0.72104690,0.77104179,0.86440763
BoT_IoT,RFF_LIM_NFST,UDP,with_novel_class,0.91041789,0.98137028,0.88746357,0.98164804,0.72541703,0.99850000,0.84017574,0.95331009,0.88746357,0.91077314,0.89492506
BoT_IoT,RFF_LIM_NFST,scan,known_only,0.91316397,0.99076212,0.89450978,0.99041690,0.00000000,0.00000000,0.00000000,0.83303030,0.74542481,0.78507228,0.89677137
BoT_IoT,RFF_LIM_NFST,scan,with_novel_class,0.93349029,0.99076212,0.91200815,0.99041690,0.78034663,0.99950000,0.87640282,0.96279050,0.91200815,0.93104011,0.92123897
BoT_IoT,RFF_LIM_NFST,theft,known_only,0.90625000,0.98541667,0.88950000,0.98475000,0.00000000,0.00000000,0.00000000,0.83253928,0.74125000,0.78256145,0.89006154
BoT_IoT,RFF_LIM_NFST,theft,with_novel_class,0.91882141,0.98541667,0.90791667,0.98475000,0.62542458,1.00000000,0.76912828,0.93677671,0.90791667,0.91074949,0.90631847
