dataset,model,novel_class,test_set,seed,accuracy_with_novel,accuracy_closed_world,balanced_accuracy_with_novel,balanced_accuracy_closed_world,novel_detection_precision,novel_detection_recall,novel_detection_f1,macro_precision,macro_recall,macro_f1,mcc_with_novel
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,42,0.95133653,0.98697738,0.94922486,0.98763268,0.00000000,0.00000000,0.00000000,0.83333333,0.79102072,0.81150184,0.94112708
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,42,0.95720313,0.98697738,0.95768738,0.98763268,0.73800738,1.00000000,0.84925690,0.95633456,0.95768738,0.95304465,0.94958631
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,43,0.95270733,0.98766278,0.94752095,0.98776536,0.00000000,0.00000000,0.00000000,0.83333333,0.78960079,0.81064010,0.94268211
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,43,0.95840868,0.98766278,0.95626746,0.98776536,0.74349442,1.00000000,0.85287846,0.95724907,0.95626746,0.95278651,0.95094608
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,44,0.95819054,0.99040439,0.95399791,0.99075768,0.00000000,0.00000000,0.00000000,0.83333333,0.79499825,0.81358492,0.94907963
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,44,0.96262809,0.99040439,0.96083159,0.99075768,0.76538462,0.99500000,0.86521739,0.96036153,0.96083159,0.95752788,0.95572313
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,45,0.94448252,0.98766278,0.94149791,0.98776536,0.00000000,0.00000000,0.00000000,0.83333333,0.78458159,0.80809653,0.93317138
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,45,0.95117541,0.98766278,0.95124825,0.98776536,0.71174377,1.00000000,0.83160083,0.95195730,0.95124825,0.94669667,0.94267651
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,46,0.95339273,0.99108979,0.95109986,0.99187500,0.00000000,0.00000000,0.00000000,0.83333333,0.79258322,0.81236507,0.94349147
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,46,0.95901145,0.99108979,0.95924988,0.99187500,0.74626866,1.00000000,0.85470085,0.95771144,0.95924988,0.95481521,0.95164030
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,42,0.89607390,0.98152425,0.87434008,0.98151536,0.00000000,0.00000000,0.00000000,0.83333333,0.72861674,0.77562379,0.87790451
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,42,0.92054149,0.98152425,0.89528340,0.98151536,0.74766355,1.00000000,0.85561497,0.95794393,0.89528340,0.91822629,0.90639786
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,43,0.90839107,0.97305620,0.89234986,0.97714036,0.00000000,0.00000000,0.00000000,0.83333333,0.74362488,0.78406221,0.89164580
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,43,0.92995880,0.97305620,0.91029155,0.97714036,0.77071291,1.00000000,0.87051143,0.96178548,0.91029155,0.92914745,0.91728188
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,44,0.91608930,0.98383372,0.90117668,0.98401536,0.00000000,0.00000000,0.00000000,0.83333333,0.75098056,0.78922615,0.89997902
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,44,0.93584461,0.98383372,0.91764723,0.98401536,0.78585462,1.00000000,0.88008801,0.96430910,0.91764723,0.93590748,0.92392215
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,45,0.90300231,0.98075443,0.88685754,0.98026536,0.00000000,0.00000000,0.00000000,0.83333333,0.73904795,0.78157700,0.88564498
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,45,0.92407298,0.98075443,0.90446462,0.98026536,0.75908222,0.99250000,0.86023835,0.95564536,0.90446462,0.92344364,0.91015734
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,46,0.89145497,0.98075443,0.86913059,0.97954609,0.00000000,0.00000000,0.00000000,0.83333333,0.72427549,0.77167808,0.87314241
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,46,0.91701001,0.98075443,0.89094216,0.97954609,0.73937153,1.00000000,0.85015940,0.95656192,0.89094216,0.91337131,0.90252412
BoT_IoT,RFF_LIM_NFST,TCP,known_only,42,0.88298691,0.98691301,0.86157472,0.98750000,0.00000000,0.00000000,0.00000000,0.83333333,0.71797893,0.76923262,0.86387106
