dataset,model,novel_class,test_set,seed,accuracy_with_novel,accuracy_closed_world,balanced_accuracy_with_novel,balanced_accuracy_closed_world,novel_detection_precision,novel_detection_recall,novel_detection_f1,macro_precision,macro_recall,macro_f1,mcc_with_novel
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,42,0.97189856,0.98286498,0.96846718,0.98240573,0.00000000,0.00000000,0.00000000,0.83228181,0.80705598,0.81937458,0.96532595
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,42,0.95901145,0.98286498,0.95122265,0.98240573,0.81603774,0.86500000,0.83980583,0.95489875,0.95122265,0.95256167,0.95047405
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,43,0.96641535,0.98903358,0.96346718,0.98950768,0.00000000,0.00000000,0.00000000,0.83333333,0.80288932,0.81774367,0.95883319
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,43,0.95177818,0.98903358,0.94372265,0.98950768,0.77522936,0.84500000,0.80861244,0.94747506,0.94372265,0.94481820,0.94184191
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,44,0.96984236,0.98697738,0.96757682,0.98615573,0.00000000,0.00000000,0.00000000,0.83280591,0.80631401,0.81930185,0.96288254
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,44,0.96925859,0.98697738,0.96714735,0.98615573,0.81779661,0.96500000,0.88532110,0.96538623,0.96714735,0.96503979,0.96312313
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,45,0.96847156,0.98697738,0.96780377,0.98763268,0.00000000,0.00000000,0.00000000,0.83278146,0.80650314,0.81938364,0.96127416
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,45,0.96021700,0.98697738,0.95650314,0.98763268,0.80000000,0.90000000,0.84705882,0.95601292,0.95650314,0.95548509,0.95207596
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,46,0.96915696,0.98971899,0.96793645,0.98964036,0.00000000,0.00000000,0.00000000,0.83140655,0.80661371,0.81881549,0.96203593
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,46,0.97046414,0.98971899,0.96994704,0.98964036,0.82008368,0.98000000,0.89293850,0.96554122,0.96994704,0.96640081,0.96465565
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,42,0.95304080,0.97536567,0.94619413,0.97602304,0.00000000,0.00000000,0.00000000,0.82994496,0.78849511,0.80853307,0.94216155
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,42,0.95467922,0.97536567,0.94849511,0.97602304,0.87074830,0.96000000,0.91319857,0.96087408,0.94849511,0.95391357,0.94492280
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,43,0.95842956,0.97151655,0.95655377,0.97464036,0.00000000,0.00000000,0.00000000,0.83228181,0.79712814,0.81418351,0.94881476
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,43,0.95762213,0.97151655,0.95629481,0.97464036,0.88018433,0.95500000,0.91606715,0.96552105,0.95629481,0.96027373,0.94850475
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,44,0.95996921,0.98229407,0.95467877,0.98276536,0.00000000,0.00000000,0.00000000,0.83333333,0.79556564,0.81386000,0.95064884
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,44,0.96586227,0.98229407,0.95973231,0.98276536,0.88340807,0.98500000,0.93144208,0.97619073,0.95973231,0.96703302,0.95869621
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,45,0.94380293,0.97921478,0.93405377,0.97526536,0.00000000,0.00000000,0.00000000,0.83153768,0.77837814,0.80347277,0.93149173
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,45,0.93937610,0.97921478,0.93254481,0.97526536,0.83900227,0.92500000,0.87990488,0.94683323,0.93254481,0.93792365,0.92632121
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,46,0.93841416,0.98152425,0.92708450,0.98066341,0.00000000,0.00000000,0.00000000,0.83280085,0.77257041,0.80084019,0.92531065
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,46,0.93525603,0.98152425,0.92673708,0.98066341,0.82405345,0.92500000,0.87161366,0.95406379,0.92673708,0.93839181,0.92122286
BoT_IoT,RFF_LIM_NFST,TCP,known_only,42,0.94996151,0.97690531,0.94481145,0.97553073,0.00000000,0.00000000,0.00000000,0.83333333,0.78734288,0.80952908,0.93881574
BoT_IoT,RFF_LIM_NFST,TCP,with_novel_class,42,0.95821071,0.97690531,0.95150954,0.97553073,0.85838780,0.98500000,0.91734575,0.97322336,0.95150954,0.96087278,0.94961237
BoT_IoT,RFF_LIM_NFST,TCP,known_only,43,0.94457275,0.96997691,0.94136522,0.97151536,0.00000000,0.00000000,0.00000000,0.82948788,0.78447102,0.80622656,0.93214912
BoT_IoT,RFF_LIM_NFST,TCP,with_novel_class,43,0.93054738,0.96997691,0.93197102,0.97151536,0.84285714,0.88500000,0.86341463,0.93286026,0.93197102,0.93104965,0.91545523
BoT_IoT,RFF_LIM_NFST,TCP,known_only,44,0.95919938,0.98768283,0.95320182,0.98825768,0.00000000,0.00000000,0.00000000,0.83219955,0.79433485,0.81268629,0.94968687
BoT_IoT,RFF_LIM_NFST,TCP,with_novel_class,44,0.96645085,0.98768283,0.95933485,0.98825768,0.88392857,0.99000000,0.93396226,0.97734233,0.95933485,0.96731253,0.95945182
BoT_IoT,RFF_LIM_NFST,TCP,known_only,45,0.95304080,0.97998460,0.94467877,0.97776536,0.00000000,0.00000000,0.00000000,0.83213429,0.78723231,0.80870899,0.94235978
BoT_IoT,RFF_LIM_NFST,TCP,with_novel_class,45,0.95350206,0.97998460,0.94639898,0.97776536,0.86425339,0.95500000,0.90736342,0.96296686,0.94639898,0.95381878,0.94344735
BoT_IoT,RFF_LIM_NFST,TCP,known_only,46,0.94996151,0.97921478,0.93797486,0.97878841,0.00000000,0.00000000,0.00000000,0.82919684,0.78164572,0.80433894,0.93848776
BoT_IoT,RFF_LIM_NFST,TCP,with_novel_class,46,0.95350206,0.97921478,0.94247905,0.97878841,0.86353468,0.96500000,0.91145218,0.96451722,0.94247905,0.95216028,0.94353696
BoT_IoT,RFF_LIM_NFST,UDP,known_only,42,0.94842186,0.98614319,0.93859986,0.98625000,0.00000000,0.00000000,0.00000000,0.83279570,0.78216655,0.80632978,0.93689153
BoT_IoT,RFF_LIM_NFST,UDP,with_novel_class,42,0.93996469,0.98614319,0.93424988,0.98625000,0.84686775,0.91250000,0.87845969,0.95390134,0.93424988,0.94300704,0.92676843
BoT_IoT,RFF_LIM_NFST,UDP,known_only,43,0.93456505,0.97382602,0.92926327,0.97615573,0.00000000,0.00000000,0.00000000,0.82890925,0.77438606,0.80050732,0.92065915
BoT_IoT,RFF_LIM_NFST,UDP,with_novel_class,43,0.93702178,0.97382602,0.93188606,0.97615573,0.82532751,0.94500000,0.88111888,0.94760899,0.93188606,0.93830106,0.92373852
BoT_IoT,RFF_LIM_NFST,UDP,known_only,44,0.95535027,0.98537336,0.94810754,0.98526536,0.00000000,0.00000000,0.00000000,0.83166536,0.79008962,0.81019949,0.94500922
