dataset,model,novel_class,test_set,seed,accuracy_with_novel,accuracy_closed_world,balanced_accuracy_with_novel,balanced_accuracy_closed_world,novel_detection_precision,novel_detection_recall,novel_detection_f1,macro_precision,macro_recall,macro_f1,mcc_with_novel
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,42,0.98766278,0.98766278,0.98825768,0.98825768,0.00000000,0.00000000,0.00000000,0.82592530,0.82354807,0.82468245,0.98450078
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,42,0.87100663,0.98766278,0.82688140,0.98825768,0.40000000,0.02000000,0.03809524,0.79949588,0.82688140,0.78170030,0.85074034
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,43,0.98834818,0.98834818,0.98937500,0.98937500,0.00000000,0.00000000,0.00000000,0.82565285,0.82447917,0.82502079,0.98534213
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,43,0.87040386,0.98834818,0.82614583,0.98937500,0.40000000,0.01000000,0.01951220,0.78998560,0.82614583,0.77329293,0.85059833
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,44,0.99108979,0.99108979,0.99187500,0.99187500,0.00000000,0.00000000,0.00000000,0.82632988,0.82656250,0.82640979,0.98878532
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,44,0.87522604,0.99108979,0.83156250,0.99187500,0.85714286,0.03000000,0.05797101,0.88136275,0.83156250,0.78881468,0.85664574
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,45,0.98971899,0.99040439,0.99062500,0.99125000,0.00000000,0.00000000,0.00000000,0.82635532,0.82552083,0.82585164,0.98710087
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,45,0.90295359,0.99040439,0.87052083,0.99125000,0.90000000,0.27000000,0.41538462,0.90519000,0.87052083,0.85755479,0.88661997
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,46,0.98971899,0.98971899,0.99062500,0.99062500,0.00000000,0.00000000,0.00000000,0.82749327,0.82552083,0.82643942,0.98709961
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,46,0.90235081,0.98971899,0.86968750,0.99062500,0.89830508,0.26500000,0.40926641,0.90345733,0.86968750,0.85566017,0.88598518
