dataset,model,novel_class,test_set,seed,accuracy_with_novel,accuracy_closed_world,balanced_accuracy_with_novel,balanced_accuracy_closed_world,novel_detection_precision,novel_detection_recall,novel_detection_f1,macro_precision,macro_recall,macro_f1,mcc_with_novel
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,42,0.98697738,0.98697738,0.98812500,0.98812500,0.00000000,0.00000000,0.00000000,0.82748354,0.82343750,0.82538618,0.98368179
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,42,0.91320072,0.98697738,0.88593750,0.98812500,0.88235294,0.37500000,0.52631579,0.91743348,0.88593750,0.88279948,0.89797732
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,43,0.98766278,0.98834818,0.98825768,0.98937500,0.00000000,0.00000000,0.00000000,0.82320708,0.82354807,0.82329461,0.98449551
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,43,0.90536468,0.98834818,0.87438140,0.98937500,0.95312500,0.30500000,0.46212121,0.91720422,0.87438140,0.86595450,0.88942503
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,44,0.99108979,0.99108979,0.99187500,0.99187500,0.00000000,0.00000000,0.00000000,0.82877122,0.82656250,0.82764510,0.98879157
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,44,0.87160940,0.99108979,0.82656250,0.99187500,0.00000000,0.00000000,0.00000000,0.73501221,0.82656250,0.77750342,0.85216831
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,45,0.98834818,0.98971899,0.98937500,0.99062500,0.00000000,0.00000000,0.00000000,0.82637030,0.82447917,0.82532325,0.98539877
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,45,0.90657022,0.98971899,0.87614583,0.99062500,0.88571429,0.31000000,0.45925926,0.90281192,0.87614583,0.86434863,0.89044838
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,46,0.98834818,0.98903358,0.98888268,0.99000000,0.00000000,0.00000000,0.00000000,0.82679123,0.82406890,0.82538603,0.98535796
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,46,0.88607595,0.98903358,0.84740223,0.99000000,0.82352941,0.14000000,0.23931624,0.88156574,0.84740223,0.82137656,0.86778437
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,42,0.98229407,0.98306390,0.98312500,0.98437500,0.00000000,0.00000000,0.00000000,0.82548386,0.81927083,0.82233742,0.97754953
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,42,0.75397293,0.98306390,0.82135417,0.98437500,0.31250000,0.01250000,0.02403846,0.75376151,0.82135417,0.74886799,0.74598397
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,43,0.97382602,0.97382602,0.97750000,0.97750000,0.00000000,0.00000000,0.00000000,0.82349128,0.81458333,0.81879444,0.96711598
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,43,0.74455562,0.97382602,0.81458333,0.97750000,0.00000000,0.00000000,0.00000000,0.65696600,0.81458333,0.71539753,0.72774011
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,44,0.98460354,0.98460354,0.98513268,0.98513268,0.00000000,0.00000000,0.00000000,0.82221757,0.82094390,0.82152706,0.98044745
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,44,0.75573867,0.98460354,0.82302723,0.98513268,0.45454545,0.01250000,0.02433090,0.73470621,0.82302723,0.72693786,0.74265511
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,45,0.98537336,0.98537336,0.98164804,0.98164804,0.00000000,0.00000000,0.00000000,0.82182551,0.81804004,0.81987782,0.98135413
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,45,0.75691583,0.98537336,0.82054004,0.98164804,0.85714286,0.01500000,0.02948403,0.79731796,0.82054004,0.72718203,0.74153834
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,46,0.98460354,0.99076212,0.98539804,0.99089036,0.00000000,0.00000000,0.00000000,0.82618533,0.82116504,0.82363547,0.98048302
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,46,0.75515009,0.99076212,0.82283170,0.99089036,0.26666667,0.01000000,0.01927711,0.71762130,0.82283170,0.73307531,0.74282658
BoT_IoT,RFF_LIM_NFST,TCP,known_only,42,0.98383372,0.98460354,0.98437500,0.98562500,0.00000000,0.00000000,0.00000000,0.82911713,0.82031250,0.82468177,0.97953277
BoT_IoT,RFF_LIM_NFST,TCP,with_novel_class,42,0.87875221,0.98460354,0.90989583,0.98562500,0.93886463,0.53750000,0.68362480,0.89841700,0.90989583,0.89101725,0.86058436
BoT_IoT,RFF_LIM_NFST,TCP,known_only,43,0.97690531,0.97767513,0.98013268,0.98075768,0.00000000,0.00000000,0.00000000,0.82183741,0.81677723,0.81907793,0.97092594
BoT_IoT,RFF_LIM_NFST,TCP,with_novel_class,43,0.86521483,0.97767513,0.90052723,0.98075768,0.92201835,0.50250000,0.65048544,0.86336669,0.90052723,0.86618857,0.84469865
BoT_IoT,RFF_LIM_NFST,TCP,known_only,44,0.99076212,0.99384142,0.99062500,0.99312500,0.00000000,0.00000000,0.00000000,0.82939844,0.82552083,0.82743119,0.98827122
BoT_IoT,RFF_LIM_NFST,TCP,with_novel_class,44,0.82989994,0.99384142,0.87677083,0.99312500,0.94615385,0.30750000,0.46415094,0.83863258,0.87677083,0.82092671,0.81118816
BoT_IoT,RFF_LIM_NFST,TCP,known_only,45,0.99153195,0.99230177,0.99075768,0.99187500,0.00000000,0.00000000,0.00000000,0.82863582,0.82563140,0.82712338,0.98920757
BoT_IoT,RFF_LIM_NFST,TCP,with_novel_class,45,0.77869335,0.99230177,0.84021473,0.99187500,0.92105263,0.08750000,0.15981735,0.81673756,0.84021473,0.75251142,0.76337386
BoT_IoT,RFF_LIM_NFST,TCP,known_only,46,0.98460354,0.98999230,0.98638268,0.99075768,0.00000000,0.00000000,0.00000000,0.82674696,0.82198557,0.82426891,0.98055698
BoT_IoT,RFF_LIM_NFST,TCP,with_novel_class,46,0.87051207,0.98999230,0.90531890,0.99075768,0.93896714,0.50000000,0.65252855,0.87909437,0.90531890,0.87396385,0.85210029
BoT_IoT,RFF_LIM_NFST,UDP,known_only,42,0.98691301,0.98691301,0.98750000,0.98750000,0.00000000,0.00000000,0.00000000,0.82614197,0.82291667,0.82449949,0.98335249
BoT_IoT,RFF_LIM_NFST,UDP,with_novel_class,42,0.75750441,0.98691301,0.82500000,0.98750000,0.50000000,0.01250000,0.02439024,0.79118115,0.82500000,0.73739308,0.76283810
BoT_IoT,RFF_LIM_NFST,UDP,known_only,43,0.97305620,0.97305620,0.97575768,0.97575768,0.00000000,0.00000000,0.00000000,0.81576969,0.81313140,0.81420519,0.96598446
BoT_IoT,RFF_LIM_NFST,UDP,with_novel_class,43,0.75161860,0.97305620,0.81854807,0.97575768,0.54166667,0.03250000,0.06132075,0.77221155,0.81854807,0.72920668,0.74539523
BoT_IoT,RFF_LIM_NFST,UDP,known_only,44,0.98768283,0.98845266,0.98825768,0.98888268,0.00000000,0.00000000,0.00000000,0.82319930,0.82354807,0.82334519,0.98432073
BoT_IoT,RFF_LIM_NFST,UDP,with_novel_class,44,0.75868158,0.98845266,0.82604807,0.98888268,0.75000000,0.01500000,0.02941176,0.83300997,0.82604807,0.73824287,0.76504389
BoT_IoT,RFF_LIM_NFST,UDP,known_only,45,0.98845266,0.98922248,0.98750000,0.98875000,0.00000000,0.00000000,0.00000000,0.82524057,0.82291667,0.82403029,0.98529495
BoT_IoT,RFF_LIM_NFST,UDP,with_novel_class,45,0.75691583,0.98922248,0.82375000,0.98875000,0.50000000,0.00500000,0.00990099,0.78429129,0.82375000,0.73231511,0.76199697
BoT_IoT,RFF_LIM_NFST,UDP,known_only,46,0.98229407,0.98460354,0.98401536,0.98638268,0.00000000,0.00000000,0.00000000,0.82024952,0.82001280,0.81999504,0.97754684
BoT_IoT,RFF_LIM_NFST,UDP,with_novel_class,46,0.75691583,0.98460354,0.82417947,0.98638268,0.62500000,0.02500000,0.04807692,0.81330985,0.82417947,0.73984746,0.76185214
BoT_IoT,RFF_LIM_NFST,scan,known_only,42,0.99384142,0.99461124,0.99325768,0.99450768,0.00000000,0.00000000,0.00000000,0.83072745,0.82771473,0.82921247,0.99216058
BoT_IoT,RFF_LIM_NFST,scan,with_novel_class,42,0.84461448,0.99461124,0.88771473,0.99450768,0.97297297,0.36000000,0.52554745,0.86616345,0.88771473,0.83660696,0.83233643
BoT_IoT,RFF_LIM_NFST,scan,known_only,43,0.98999230,0.98999230,0.99075768,0.99075768,0.00000000,0.00000000,0.00000000,0.82918253,0.82563140,0.82738083,0.98728610
