dataset,model,novel_class,test_set,accuracy_with_novel,accuracy_closed_world,balanced_accuracy_with_novel,balanced_accuracy_closed_world,novel_detection_precision,novel_detection_recall,novel_detection_f1,macro_precision,macro_recall,macro_f1,mcc_with_novel
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,0.92241261,0.98875942,0.92127444,0.98915922,0.00000000,0.00000000,0.00000000,0.83333333,0.76772870,0.79893676,0.90837998
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,0.93176612,0.98875942,0.93439537,0.98915922,0.63965207,1.00000000,0.77990961,0.93994201,0.93439537,0.92892169,0.92093721
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,0.91531948,0.97998460,0.91743017,0.98049651,0.00000000,0.00000000,0.00000000,0.83080194,0.76452514,0.79589303,0.89950776
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,0.88240141,0.97998460,0.89377514,0.98049651,0.72901999,0.77550000,0.74400205,0.90231834,0.89377514,0.88865624,0.86151810
BoT_IoT,RFF_LIM_NFST,TCP,known_only,0.91839877,0.98337182,0.91871089,0.98446229,0.00000000,0.00000000,0.00000000,0.82976525,0.76559241,0.79578830,0.90270277
BoT_IoT,RFF_LIM_NFST,TCP,with_novel_class,0.92077693,0.98337182,0.92034241,0.98446229,0.78324250,0.92850000,0.84897050,0.93862082,0.92034241,0.92490974,0.90508341
BoT_IoT,RFF_LIM_NFST,UDP,known_only,0.92609700,0.98137028,0.92860405,0.98164804,0.00000000,0.00000000,0.00000000,0.83041875,0.77383671,0.80089321,0.91144570
BoT_IoT,RFF_LIM_NFST,UDP,with_novel_class,0.88769865,0.98137028,0.90100338,0.98164804,0.76509532,0.76300000,0.76236702,0.89849602,0.90100338,0.89146291,0.86596984
BoT_IoT,RFF_LIM_NFST,scan,known_only,0.91562741,0.99076212,0.91500279,0.99041690,0.00000000,0.00000000,0.00000000,0.83121686,0.76250233,0.79485912,0.89976745
BoT_IoT,RFF_LIM_NFST,scan,with_novel_class,0.92960565,0.99076212,0.92500233,0.99041690,0.78416262,0.97500000,0.86911225,0.95221464,0.92500233,0.93477844,0.91606066
BoT_IoT,RFF_LIM_NFST,theft,known_only,0.90708333,0.98541667,0.91137500,0.98475000,0.00000000,0.00000000,0.00000000,0.83060569,0.75947917,0.79312647,0.89121890
BoT_IoT,RFF_LIM_NFST,theft,with_novel_class,0.91557426,0.98541667,0.92121310,0.98475000,0.62397053,0.97040359,0.75877036,0.92849574,0.92121310,0.91642976,0.90217858
