dataset,model,novel_class,test_set,seed,accuracy_with_novel,accuracy_closed_world,balanced_accuracy_with_novel,balanced_accuracy_closed_world,novel_detection_precision,novel_detection_recall,novel_detection_f1,macro_precision,macro_recall,macro_f1,mcc_with_novel
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,42,0.92254969,0.98697738,0.92248254,0.98763268,0.00000000,0.00000000,0.00000000,0.83333333,0.76873545,0.79953524,0.90850252
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,42,0.93188668,0.98697738,0.93540212,0.98763268,0.63897764,1.00000000,0.77972710,0.93982961,0.93540212,0.92948976,0.92105576
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,43,0.91843729,0.98766278,0.91282472,0.98776536,0.00000000,0.00000000,0.00000000,0.83333333,0.76068727,0.79498252,0.90380411
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,43,0.92827004,0.98766278,0.92735393,0.98776536,0.62695925,1.00000000,0.77071291,0.93782654,0.92735393,0.92343467,0.91695071
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,44,0.92254969,0.99040439,0.91952863,0.99075768,0.00000000,0.00000000,0.00000000,0.83333333,0.76627386,0.79810935,0.90844850
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,44,0.93188668,0.99040439,0.93294053,0.99075768,0.63897764,1.00000000,0.77972710,0.93982961,0.93294053,0.92806387,0.92102428
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,45,0.93762851,0.98766278,0.93869413,0.98776536,0.00000000,0.00000000,0.00000000,0.83333333,0.78224511,0.80680542,0.92547186
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,45,0.94514768,0.98766278,0.94891178,0.98776536,0.68728522,1.00000000,0.81466395,0.94788087,0.94891178,0.94258275,0.93593458
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,46,0.91089788,0.99108979,0.91284218,0.99187500,0.00000000,0.00000000,0.00000000,0.83333333,0.76070182,0.79525124,0.89567292
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,46,0.92163954,0.99108979,0.92736848,0.99187500,0.60606061,1.00000000,0.75471698,0.93434343,0.92736848,0.92103740,0.90972073
