dataset,model,novel_class,test_set,seed,accuracy_with_novel,accuracy_closed_world,balanced_accuracy_with_novel,balanced_accuracy_closed_world,novel_detection_precision,novel_detection_recall,novel_detection_f1,macro_precision,macro_recall,macro_f1,mcc_with_novel
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,42,0.98149417,0.98286498,0.98017109,0.98240573,0.00000000,0.00000000,0.00000000,0.82217913,0.81680924,0.81940319,0.97674321
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,42,0.88245931,0.98286498,0.84347591,0.98240573,0.82051282,0.16000000,0.26778243,0.87833542,0.84347591,0.82107086,0.86314646
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,43,0.98903358,0.98903358,0.98950768,0.98950768,0.00000000,0.00000000,0.00000000,0.82578957,0.82458973,0.82515211,0.98620117
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,43,0.88125377,0.98903358,0.84042307,0.98950768,0.86363636,0.09500000,0.17117117,0.87718975,0.84042307,0.80426971,0.86264155
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,44,0.98697738,0.98697738,0.98615573,0.98615573,0.00000000,0.00000000,0.00000000,0.98830242,0.98615573,0.98714252,0.98360541
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,44,0.87402049,0.98697738,0.83012977,0.98615573,1.00000000,0.05000000,0.09523810,0.90143914,0.83012977,0.79108790,0.85469261
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,45,0.98697738,0.98697738,0.98763268,0.98763268,0.00000000,0.00000000,0.00000000,0.98588504,0.98763268,0.98663849,0.98363616
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,45,0.89029536,0.98697738,0.85386057,0.98763268,1.00000000,0.18500000,0.31223629,0.90346663,0.85386057,0.82852773,0.87285439
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,46,0.98834818,0.98971899,0.98789804,0.98964036,0.00000000,0.00000000,0.00000000,0.82317561,0.82324837,0.82315581,0.98534296
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,46,0.87763713,0.98971899,0.83491504,0.98964036,0.87500000,0.07000000,0.12962963,0.87276937,0.83491504,0.79290234,0.85871019
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,42,0.97382602,0.97536567,0.97414804,0.97602304,0.00000000,0.00000000,0.00000000,0.81450579,0.81179004,0.81306257,0.96676637
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,42,0.75573867,0.97536567,0.81970670,0.97602304,0.67857143,0.04750000,0.08878505,0.74854604,0.81970670,0.71165637,0.74153206
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,43,0.97151655,0.97151655,0.97464036,0.97464036,0.00000000,0.00000000,0.00000000,0.80723457,0.81220030,0.80931201,0.96397240
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,43,0.74514420,0.97151655,0.81386697,0.97464036,0.80000000,0.01000000,0.01975309,0.75889606,0.81386697,0.69778979,0.72973849
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,44,0.98152425,0.98229407,0.98214036,0.98276536,0.00000000,0.00000000,0.00000000,0.81656491,0.81845030,0.81743243,0.97651003
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,44,0.81400824,0.98229407,0.86345030,0.98276536,0.97297297,0.27000000,0.42270059,0.85355385,0.86345030,0.81634269,0.79519669
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,45,0.97536567,0.97921478,0.97164804,0.97526536,0.00000000,0.00000000,0.00000000,0.81764037,0.80970670,0.81365247,0.96871384
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,45,0.77751619,0.97921478,0.83220670,0.97526536,0.81818182,0.13500000,0.23175966,0.79332467,0.83220670,0.75516606,0.75839769
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,46,0.97921478,0.98152425,0.97767109,0.98066341,0.00000000,0.00000000,0.00000000,0.81639012,0.81472591,0.81538282,0.97362137
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,46,0.82401413,0.98152425,0.86805924,0.98066341,0.94814815,0.32000000,0.47850467,0.86217937,0.86805924,0.82778034,0.80663701
BoT_IoT,RFF_LIM_NFST,TCP,known_only,42,0.97690531,0.97690531,0.97553073,0.97553073,0.00000000,0.00000000,0.00000000,0.81655633,0.81294227,0.81468207,0.97068012
BoT_IoT,RFF_LIM_NFST,TCP,with_novel_class,42,0.90170689,0.97690531,0.92252561,0.97553073,0.96691176,0.65750000,0.78273810,0.90558119,0.92252561,0.90636979,0.88480062
BoT_IoT,RFF_LIM_NFST,TCP,known_only,43,0.96997691,0.96997691,0.97151536,0.97151536,0.00000000,0.00000000,0.00000000,0.80613520,0.80959614,0.80741546,0.96200465
BoT_IoT,RFF_LIM_NFST,TCP,with_novel_class,43,0.75456151,0.96997691,0.81876280,0.97151536,0.81481481,0.05500000,0.10304450,0.78736829,0.81876280,0.72785722,0.73623275
BoT_IoT,RFF_LIM_NFST,TCP,known_only,44,0.98768283,0.98768283,0.98825768,0.98825768,0.00000000,0.00000000,0.00000000,0.82318474,0.82354807,0.82331007,0.98434107
BoT_IoT,RFF_LIM_NFST,TCP,with_novel_class,44,0.76103590,0.98768283,0.82771473,0.98825768,0.90909091,0.02500000,0.04866180,0.79656623,0.82771473,0.72518762,0.74395924
BoT_IoT,RFF_LIM_NFST,TCP,known_only,45,0.97844496,0.97998460,0.97602304,0.97776536,0.00000000,0.00000000,0.00000000,0.81766169,0.81335254,0.81546752,0.97256052
BoT_IoT,RFF_LIM_NFST,TCP,with_novel_class,45,0.75632725,0.97998460,0.81918587,0.97776536,0.70000000,0.03500000,0.06666667,0.76375923,0.81918587,0.72443187,0.73837764
BoT_IoT,RFF_LIM_NFST,TCP,known_only,46,0.97844496,0.97921478,0.97753841,0.97878841,0.00000000,0.00000000,0.00000000,0.81586845,0.81461534,0.81508227,0.97263785
BoT_IoT,RFF_LIM_NFST,TCP,with_novel_class,46,0.81577398,0.97921478,0.86253201,0.97878841,0.94262295,0.28750000,0.44061303,0.84360303,0.86253201,0.81671473,0.79417065
BoT_IoT,RFF_LIM_NFST,UDP,known_only,42,0.98614319,0.98614319,0.98625000,0.98625000,0.00000000,0.00000000,0.00000000,0.82263151,0.82187500,0.82222845,0.98234003
BoT_IoT,RFF_LIM_NFST,UDP,with_novel_class,42,0.76103590,0.98614319,0.82687500,0.98625000,0.92307692,0.03000000,0.05811138,0.80022862,0.82687500,0.72644448,0.74449048
BoT_IoT,RFF_LIM_NFST,UDP,known_only,43,0.97228637,0.97382602,0.97490573,0.97615573,0.00000000,0.00000000,0.00000000,0.81151383,0.81242144,0.81159956,0.96497703
BoT_IoT,RFF_LIM_NFST,UDP,with_novel_class,43,0.74867569,0.97382602,0.81617144,0.97615573,0.60000000,0.02250000,0.04337349,0.71757083,0.81617144,0.70339911,0.72865679
BoT_IoT,RFF_LIM_NFST,UDP,known_only,44,0.98537336,0.98537336,0.98526536,0.98526536,0.00000000,0.00000000,0.00000000,0.81809379,0.82105447,0.81949072,0.98140456
BoT_IoT,RFF_LIM_NFST,UDP,with_novel_class,44,0.75573867,0.98537336,0.82272114,0.98526536,0.80000000,0.01000000,0.01975309,0.80867957,0.82272114,0.72310583,0.75045498
BoT_IoT,RFF_LIM_NFST,UDP,known_only,45,0.97613549,0.97767513,0.97303073,0.97490573,0.00000000,0.00000000,0.00000000,0.81146508,0.81085894,0.81113392,0.96960160
BoT_IoT,RFF_LIM_NFST,UDP,with_novel_class,45,0.75515009,0.97767513,0.81710894,0.97490573,0.83333333,0.03750000,0.07177033,0.79778322,0.81710894,0.72159210,0.74592261
BoT_IoT,RFF_LIM_NFST,UDP,known_only,46,0.97690531,0.97844496,0.97566341,0.97816341,0.00000000,0.00000000,0.00000000,0.81256429,0.81305284,0.81270673,0.97059440
BoT_IoT,RFF_LIM_NFST,UDP,with_novel_class,46,0.75397293,0.97844496,0.81805284,0.97816341,0.85714286,0.03000000,0.05797101,0.78058830,0.81805284,0.71501037,0.73732238
BoT_IoT,RFF_LIM_NFST,scan,known_only,42,0.98306390,0.98306390,0.98079609,0.98079609,0.00000000,0.00000000,0.00000000,0.81672798,0.81733007,0.81688502,0.97844354
BoT_IoT,RFF_LIM_NFST,scan,with_novel_class,42,0.76692172,0.98306390,0.82816341,0.98079609,0.96296296,0.06500000,0.12177986,0.84684875,0.82816341,0.75798532,0.75460673
BoT_IoT,RFF_LIM_NFST,scan,known_only,43,0.98229407,0.98306390,0.98164804,0.98289804,0.00000000,0.00000000,0.00000000,0.81786142,0.81804004,0.81783277,0.97750669
BoT_IoT,RFF_LIM_NFST,scan,with_novel_class,43,0.75161860,0.98306390,0.81845670,0.98289804,0.16666667,0.00250000,0.00492611,0.69348036,0.81845670,0.72014461,0.73939895
BoT_IoT,RFF_LIM_NFST,scan,known_only,44,0.98999230,0.98999230,0.99187500,0.99187500,0.00000000,0.00000000,0.00000000,0.98894701,0.99187500,0.99034822,0.98726110
BoT_IoT,RFF_LIM_NFST,scan,with_novel_class,44,0.76339023,0.98999230,0.83114583,0.99187500,1.00000000,0.02750000,0.05352798,0.86859594,0.83114583,0.75762398,0.75702057
BoT_IoT,RFF_LIM_NFST,scan,known_only,45,0.97767513,0.97767513,0.97589036,0.97589036,0.00000000,0.00000000,0.00000000,0.81477373,0.81324197,0.81394759,0.97159401
BoT_IoT,RFF_LIM_NFST,scan,with_novel_class,45,0.76044732,0.97767513,0.82240864,0.97589036,0.84615385,0.05500000,0.10328638,0.79737586,0.82240864,0.73950610,0.74134414
BoT_IoT,RFF_LIM_NFST,scan,known_only,46,0.98383372,0.98383372,0.98142109,0.98142109,0.00000000,0.00000000,0.00000000,0.81815225,0.81785091,0.81791029,0.97941637
BoT_IoT,RFF_LIM_NFST,scan,with_novel_class,46,0.75456151,0.98383372,0.81951757,0.98142109,0.66666667,0.01000000,0.01970443,0.75767310,0.81951757,0.71571644,0.73843927
BoT_IoT,RFF_LIM_NFST,theft,known_only,42,0.97847222,0.97847222,0.97687500,0.97687500,0.00000000,0.00000000,0.00000000,0.81032921,0.81406250,0.81199263,0.97285992
BoT_IoT,RFF_LIM_NFST,theft,with_novel_class,42,0.87372219,0.97847222,0.84694740,0.97687500,0.97777778,0.19730942,0.32835821,0.88928482,0.84694740,0.81098006,0.85856155
BoT_IoT,RFF_LIM_NFST,theft,known_only,43,0.98194444,0.98194444,0.98312500,0.98312500,0.00000000,0.00000000,0.00000000,0.81371888,0.81927083,0.81617170,0.97727566
BoT_IoT,RFF_LIM_NFST,theft,with_novel_class,43,0.85027060,0.98194444,0.81927083,0.98312500,0.00000000,0.00000000,0.00000000,0.70960483,0.81927083,0.74976996,0.83299589
BoT_IoT,RFF_LIM_NFST,theft,known_only,44,0.98541667,0.98541667,0.98437500,0.98437500,0.00000000,0.00000000,0.00000000,0.81945274,0.82031250,0.81985083,0.98156904
BoT_IoT,RFF_LIM_NFST,theft,with_novel_class,44,0.85508118,0.98541667,0.82255465,0.98437500,0.60000000,0.01345291,0.02631579,0.81247415,0.82255465,0.76383984,0.83534904
BoT_IoT,RFF_LIM_NFST,theft,known_only,45,0.97083333,0.97083333,0.97000000,0.97000000,0.00000000,0.00000000,0.00000000,0.80573428,0.80833333,0.80678207,0.96325489
BoT_IoT,RFF_LIM_NFST,theft,with_novel_class,45,0.84726398,0.97083333,0.81655456,0.97000000,0.78571429,0.04932735,0.09282700,0.84202426,0.81655456,0.75914278,0.82989770
BoT_IoT,RFF_LIM_NFST,theft,known_only,46,0.97500000,0.97638889,0.97187500,0.97437500,0.00000000,0.00000000,0.00000000,0.80958849,0.80989583,0.80969334,0.96841073
BoT_IoT,RFF_LIM_NFST,theft,with_novel_class,46,0.92904390,0.97638889,0.91527700,0.97437500,0.98601399,0.63228700,0.77049180,0.92146384,0.91527700,0.90753851,0.91640087
