dataset,model,novel_class,test_set,accuracy_with_novel,accuracy_closed_world,balanced_accuracy_with_novel,balanced_accuracy_closed_world,novel_detection_precision,novel_detection_recall,novel_detection_f1,macro_precision,macro_recall,macro_f1,mcc_with_novel
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,0.97943797,0.98204249,0.97928073,0.98185265,0.00000000,0.00000000,0.00000000,0.81999553,0.81606727,0.81792848,0.97417055
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,0.88571429,0.98204249,0.84973394,0.98185265,0.84416008,0.20200000,0.32528480,0.88047014,0.84973394,0.82926265,0.86641143
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,0.96689761,0.97059276,0.96503841,0.96861034,0.00000000,0.00000000,0.00000000,0.80923694,0.80419867,0.80647385,0.95808502
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,0.79293702,0.97059276,0.84219867,0.96861034,0.77677308,0.22800000,0.29361105,0.79623085,0.84219867,0.76745912,0.77547720
BoT_IoT,RFF_LIM_NFST,TCP,known_only,0.96966898,0.97105466,0.96706494,0.96888687,0.00000000,0.00000000,0.00000000,0.80638313,0.80588745,0.80591830,0.96151932
BoT_IoT,RFF_LIM_NFST,TCP,with_novel_class,0.84084756,0.97105466,0.87630412,0.96888687,0.95805085,0.42250000,0.57299347,0.85217786,0.87630412,0.83176528,0.82283917
BoT_IoT,RFF_LIM_NFST,UDP,known_only,0.96628176,0.96843726,0.96480726,0.96747765,0.00000000,0.00000000,0.00000000,0.80552286,0.80400605,0.80449520,0.95722753
BoT_IoT,RFF_LIM_NFST,UDP,with_novel_class,0.76751030,0.96843726,0.82433939,0.96747765,0.76357858,0.12200000,0.20257717,0.77754037,0.82433939,0.73977889,0.75054770
BoT_IoT,RFF_LIM_NFST,scan,known_only,0.97428791,0.97613549,0.97027723,0.97284916,0.00000000,0.00000000,0.00000000,0.81237197,0.80856436,0.81035729,0.96728059
BoT_IoT,RFF_LIM_NFST,scan,with_novel_class,0.80435550,0.97613549,0.85064770,0.97284916,0.86418969,0.25250000,0.35922566,0.82530143,0.85064770,0.79104342,0.78723952
BoT_IoT,RFF_LIM_NFST,theft,known_only,0.96222222,0.96375000,0.95762500,0.95950000,0.00000000,0.00000000,0.00000000,0.79798691,0.79802083,0.79770621,0.95243447
BoT_IoT,RFF_LIM_NFST,theft,with_novel_class,0.84401684,0.96375000,0.81147375,0.95950000,0.73712362,0.08071749,0.14393451,0.82824380,0.81147375,0.76784461,0.82116820
