dataset,model,novel_class,test_set,accuracy_with_novel,accuracy_closed_world,balanced_accuracy_with_novel,balanced_accuracy_closed_world,novel_detection_precision,novel_detection_recall,novel_detection_f1,macro_precision,macro_recall,macro_f1,mcc_with_novel
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,0.95229609,0.98793694,0.95039525,0.98900000,0.00000000,0.00000000,0.00000000,0.83333333,0.79199604,0.81202330,0.94225926
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,0.94996986,0.98793694,0.94749604,0.98900000,0.72767639,0.93300000,0.81724101,0.94777393,0.94749604,0.94480006,0.94042296
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,0.92501925,0.98183218,0.91097137,0.98257961,0.00000000,0.00000000,0.00000000,0.83064666,0.75914281,0.79228622,0.90991852
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,0.94149500,0.98183218,0.92497614,0.98257961,0.80821531,0.99500000,0.89174059,0.96368632,0.92497614,0.94016296,0.93025795
BoT_IoT,RFF_LIM_NFST,TCP,known_only,0.90792918,0.98645112,0.89274441,0.98613268,0.00000000,0.00000000,0.00000000,0.83231284,0.74395368,0.78443716,0.89098207
BoT_IoT,RFF_LIM_NFST,TCP,with_novel_class,0.92831077,0.98645112,0.90970368,0.98613268,0.77046918,0.99450000,0.86813512,0.95860156,0.90970368,0.92827870,0.91506392
BoT_IoT,RFF_LIM_NFST,UDP,known_only,0.90223249,0.98306390,0.88830866,0.98363268,0.00000000,0.00000000,0.00000000,0.83207771,0.74025722,0.78224338,0.88472863
BoT_IoT,RFF_LIM_NFST,UDP,with_novel_class,0.92089464,0.98306390,0.90384055,0.98363268,0.75788447,0.98150000,0.85513472,0.94932141,0.90384055,0.92114652,0.90602794
BoT_IoT,RFF_LIM_NFST,scan,known_only,0.92163202,0.99030023,0.90291480,0.99025768,0.00000000,0.00000000,0.00000000,0.83267703,0.75242900,0.78886542,0.90626342
BoT_IoT,RFF_LIM_NFST,scan,with_novel_class,0.93914067,0.99030023,0.91842900,0.99025768,0.79802808,0.99600000,0.88590477,0.96464349,0.91842900,0.93605323,0.92764254
BoT_IoT,RFF_LIM_NFST,theft,known_only,0.91458333,0.98083333,0.90125000,0.97925000,0.00000000,0.00000000,0.00000000,0.83214508,0.75104167,0.78851321,0.89907542
BoT_IoT,RFF_LIM_NFST,theft,with_novel_class,0.91725797,0.98083333,0.90679652,0.97925000,0.62758100,0.93452915,0.74941865,0.93020070,0.90679652,0.91001923,0.90308340
