dataset,model,novel_class,test_set,seed,accuracy_with_novel,accuracy_closed_world,balanced_accuracy_with_novel,balanced_accuracy_closed_world,novel_detection_precision,novel_detection_recall,novel_detection_f1,macro_precision,macro_recall,macro_f1,mcc_with_novel
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,42,0.94790953,0.98629198,0.94560754,0.98750000,0.00000000,0.00000000,0.00000000,0.83333333,0.78800628,0.80984720,0.93718579
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,42,0.93429777,0.98629198,0.92717295,0.98750000,0.68724280,0.83500000,0.75395034,0.93179193,0.92717295,0.92734272,0.92122694
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,43,0.94790953,0.98560658,0.94462291,0.98687500,0.00000000,0.00000000,0.00000000,0.83333333,0.78718575,0.80943996,0.93713676
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,43,0.95298373,0.98560658,0.95218575,0.98687500,0.72262774,0.99000000,0.83544304,0.95267361,0.95218575,0.94816100,0.94458447
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,44,0.95476354,0.99108979,0.95333450,0.99187500,0.00000000,0.00000000,0.00000000,0.83333333,0.79444541,0.81336678,0.94510030
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,44,0.95901145,0.99108979,0.95944541,0.99187500,0.75000000,0.99000000,0.85344828,0.95725626,0.95944541,0.95508834,0.95150394
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,45,0.94996573,0.98766278,0.94797486,0.98875000,0.00000000,0.00000000,0.00000000,0.83333333,0.78997905,0.81102076,0.93949630
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,45,0.93911995,0.98766278,0.93331238,0.98875000,0.70204082,0.86000000,0.77303371,0.93590593,0.93331238,0.93263542,0.92699459
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,46,0.96093215,0.98903358,0.96043645,0.99000000,0.00000000,0.00000000,0.00000000,0.83333333,0.80036371,0.81644181,0.95237714
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,46,0.96443641,0.98903358,0.96536371,0.99000000,0.77647059,0.99000000,0.87032967,0.96124192,0.96536371,0.96077282,0.95780487
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,42,0.91070054,0.97690531,0.88992668,0.97714036,0.00000000,0.00000000,0.00000000,0.82920110,0.74160556,0.78153980,0.89361359
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,42,0.93172454,0.97690531,0.90827223,0.97714036,0.77972710,1.00000000,0.87623220,0.95915562,0.90827223,0.92757850,0.91903441
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,43,0.93841416,0.97690531,0.93221718,0.98062500,0.00000000,0.00000000,0.00000000,0.83226496,0.77684765,0.80325294,0.92533977
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,43,0.94938199,0.97690531,0.94101432,0.98062500,0.83474576,0.98500000,0.90366972,0.96778523,0.94101432,0.95211753,0.93922479
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,44,0.93302540,0.98306390,0.92163059,0.98312500,0.00000000,0.00000000,0.00000000,0.83333333,0.76802549,0.79887312,0.91913817
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,44,0.94761624,0.98306390,0.93385882,0.98312500,0.82061856,0.99500000,0.89943503,0.96767000,0.93385882,0.94775173,0.93740165
