dataset,model,novel_class,test_set,seed,accuracy_with_novel,accuracy_closed_world,balanced_accuracy_with_novel,balanced_accuracy_closed_world,novel_detection_precision,novel_detection_recall,novel_detection_f1,macro_precision,macro_recall,macro_f1,mcc_with_novel
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,42,0.89033585,0.98629198,0.88473813,0.98700768,0.00000000,0.00000000,0.00000000,0.83333333,0.73728177,0.78183036,0.87341793
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,42,0.90355636,0.98629198,0.90394844,0.98700768,0.55555556,1.00000000,0.71428571,0.92592593,0.90394844,0.90087798,0.88997321
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,43,0.86291981,0.98766278,0.86613827,0.98825768,0.00000000,0.00000000,0.00000000,0.83333333,0.72178189,0.77334856,0.84511876
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,43,0.87944545,0.98766278,0.88844856,0.98825768,0.50000000,1.00000000,0.66666667,0.91666667,0.88844856,0.88445967,0.86445988
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,44,0.85880740,0.99040439,0.86140363,0.99125000,0.00000000,0.00000000,0.00000000,0.83333333,0.71783636,0.77078717,0.84103716
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,44,0.87582881,0.99040439,0.88450303,0.99125000,0.49261084,1.00000000,0.66006601,0.91543514,0.88450303,0.88079817,0.86075697
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,45,0.87731323,0.99040439,0.87926327,0.99125000,0.00000000,0.00000000,0.00000000,0.83333333,0.73271939,0.77947086,0.85997621
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,45,0.89150090,0.99040439,0.89855272,0.99125000,0.52645503,0.99500000,0.68858131,0.92004703,0.89855272,0.89377153,0.87705684
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,46,0.88279644,0.98903358,0.88229399,0.99000000,0.00000000,0.00000000,0.00000000,0.83333333,0.73524500,0.78116524,0.86547961
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,46,0.89572031,0.98903358,0.90024500,0.99000000,0.53658537,0.99000000,0.69595782,0.92114055,0.90024500,0.89643658,0.88122315
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,42,0.86759045,0.98383372,0.87663059,0.98500000,0.00000000,0.00000000,0.00000000,0.83333333,0.73052549,0.77824935,0.84895370
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,42,0.89758682,0.98383372,0.89635882,0.98500000,0.69824561,0.99500000,0.82061856,0.94756654,0.89635882,0.91403772,0.88078793
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,43,0.89068514,0.97305620,0.89000349,0.97638268,0.00000000,0.00000000,0.00000000,0.83333333,0.74166958,0.78424766,0.87275190
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,43,0.91288994,0.97305620,0.90583624,0.97638268,0.73507463,0.98500000,0.84188034,0.94951666,0.90583624,0.92149703,0.89732172
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,44,0.87451886,0.98845266,0.87773045,0.98825768,0.00000000,0.00000000,0.00000000,0.83333333,0.73144204,0.77862032,0.85583955
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,44,0.89464391,0.98845266,0.89144204,0.98825768,0.70201097,0.96000000,0.81098205,0.93436710,0.89144204,0.90586504,0.87569294
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,45,0.87682833,0.98460354,0.87555168,0.98200768,0.00000000,0.00000000,0.00000000,0.83214286,0.72962640,0.77742657,0.85784312
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,45,0.90464979,0.98460354,0.89545973,0.98200768,0.71454219,0.99500000,0.83176594,0.94890257,0.89545973,0.91503142,0.88834389
