dataset,model,novel_class,test_set,seed,accuracy_with_novel,accuracy_closed_world,balanced_accuracy_with_novel,balanced_accuracy_closed_world,novel_detection_precision,novel_detection_recall,novel_detection_f1,macro_precision,macro_recall,macro_f1,mcc_with_novel
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,42,0.97395476,0.98697738,0.97625000,0.98812500,0.00000000,0.00000000,0.00000000,0.83058608,0.81354167,0.82187915,0.96785158
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,42,0.96142254,0.98697738,0.95854167,0.98812500,0.83253589,0.87000000,0.85085575,0.94971394,0.95854167,0.95331105,0.95353609
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,43,0.96504455,0.98834818,0.96763268,0.98937500,0.00000000,0.00000000,0.00000000,0.83333333,0.80636057,0.81954251,0.95728276
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,43,0.96624473,0.98834818,0.96886057,0.98937500,0.79268293,0.97500000,0.87443946,0.96237560,0.96886057,0.96378013,0.95976863
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,44,0.96572995,0.99108979,0.96825768,0.99187500,0.00000000,0.00000000,0.00000000,0.83240223,0.80688140,0.81923638,0.95813511
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,44,0.96684750,0.99108979,0.96938140,0.99187500,0.79918033,0.97500000,0.87837838,0.96145385,0.96938140,0.96354144,0.96053416
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,45,0.96984236,0.98971899,0.97151536,0.99062500,0.00000000,0.00000000,0.00000000,0.82786885,0.80959614,0.81849815,0.96281501
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,45,0.96805304,0.98971899,0.96876280,0.99062500,0.83406114,0.95500000,0.89044289,0.95932269,0.96876280,0.96295153,0.96169128
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,46,0.96504455,0.98903358,0.96517109,0.99000000,0.00000000,0.00000000,0.00000000,0.83333333,0.80430924,0.81837835,0.95732988
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,46,0.96684750,0.98903358,0.96764257,0.99000000,0.79352227,0.98000000,0.87695749,0.96304137,0.96764257,0.96329478,0.96056496
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,42,0.95227098,0.98306390,0.95727304,0.98437500,0.00000000,0.00000000,0.00000000,0.83065364,0.79772754,0.81372325,0.94152473
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,42,0.91171277,0.98306390,0.92772754,0.98437500,0.84324324,0.78000000,0.81038961,0.92624837,0.92772754,0.92511109,0.89338125
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,43,0.96920708,0.97382602,0.97276536,0.97750000,0.00000000,0.00000000,0.00000000,0.82284964,0.81063780,0.81637018,0.96160198
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,43,0.87698646,0.97382602,0.90688780,0.97750000,0.88846154,0.57750000,0.70000000,0.87422794,0.90688780,0.87469148,0.85856215
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,44,0.96997691,0.98460354,0.97325768,0.98513268,0.00000000,0.00000000,0.00000000,0.82480539,0.81104807,0.81775090,0.96248202
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,44,0.92113008,0.98460354,0.93813140,0.98513268,0.91044776,0.76250000,0.82993197,0.91271586,0.93813140,0.91888294,0.90640974
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,45,0.95765974,0.98537336,0.95717877,0.98164804,0.00000000,0.00000000,0.00000000,0.82904596,0.79764898,0.81300567,0.94770962
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,45,0.92937022,0.98537336,0.93723231,0.98164804,0.87012987,0.83750000,0.85350318,0.93064765,0.93723231,0.93249586,0.91427235
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,46,0.95612009,0.99076212,0.95869413,0.99089036,0.00000000,0.00000000,0.00000000,0.82863539,0.79891178,0.81332493,0.94593313
