dataset,model,novel_class,test_set,seed,accuracy_with_novel,accuracy_closed_world,balanced_accuracy_with_novel,balanced_accuracy_closed_world,novel_detection_precision,novel_detection_recall,novel_detection_f1,macro_precision,macro_recall,macro_f1,mcc_with_novel
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,42,0.98834818,0.98834818,0.98937500,0.98937500,0.00000000,0.00000000,0.00000000,0.82594048,0.82447917,0.82514926,0.98536110
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,42,0.87160940,0.98834818,0.82781250,0.98937500,0.44444444,0.02000000,0.03827751,0.80738209,0.82781250,0.78240783,0.85157019
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,43,0.98834818,0.98834818,0.98937500,0.98937500,0.00000000,0.00000000,0.00000000,0.82565285,0.82447917,0.82502079,0.98534213
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,43,0.87040386,0.98834818,0.82614583,0.98937500,0.40000000,0.01000000,0.01951220,0.79016710,0.82614583,0.77342672,0.85058831
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,44,0.99177519,0.99177519,0.99250000,0.99250000,0.00000000,0.00000000,0.00000000,0.82684433,0.82708333,0.82693230,0.98964634
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,44,0.87522604,0.99177519,0.83125000,0.99250000,0.83333333,0.02500000,0.04854369,0.87650927,0.83125000,0.78705767,0.85670600
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,45,0.98971899,0.99040439,0.99062500,0.99125000,0.00000000,0.00000000,0.00000000,0.82600753,0.82552083,0.82566256,0.98710558
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,45,0.90235081,0.99040439,0.86968750,0.99125000,0.89830508,0.26500000,0.40926641,0.90467064,0.86968750,0.85634704,0.88597850
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,46,0.98903358,0.98903358,0.99000000,0.99000000,0.00000000,0.00000000,0.00000000,0.82698048,0.82500000,0.82591270,0.98624293
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,46,0.90174804,0.98903358,0.86916667,0.99000000,0.89830508,0.26500000,0.40926641,0.90297958,0.86916667,0.85514756,0.88525333
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,42,0.98383372,0.98383372,0.98562500,0.98562500,0.00000000,0.00000000,0.00000000,0.82403420,0.82135417,0.82264108,0.97944587
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,42,0.75220718,0.98383372,0.82135417,0.98562500,0.00000000,0.00000000,0.00000000,0.67084213,0.82135417,0.72793664,0.74122426
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,43,0.98075443,0.98075443,0.98437500,0.98437500,0.00000000,0.00000000,0.00000000,0.82510800,0.82031250,0.82245384,0.97579879
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,43,0.74985285,0.98075443,0.82031250,0.98437500,0.00000000,0.00000000,0.00000000,0.65085006,0.82031250,0.71554598,0.73331131
