dataset,model,novel_class,test_set,seed,accuracy_with_novel,accuracy_closed_world,balanced_accuracy_with_novel,balanced_accuracy_closed_world,novel_detection_precision,novel_detection_recall,novel_detection_f1,macro_precision,macro_recall,macro_f1,mcc_with_novel
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,42,0.98149417,0.98629198,0.98066341,0.98750000,0.00000000,0.00000000,0.00000000,0.83228836,0.81721951,0.82464239,0.97700040
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,42,0.94394213,0.98629198,0.92888617,0.98750000,0.84276730,0.67000000,0.74651811,0.94219410,0.92888617,0.93304333,0.93275776
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,43,0.97875257,0.98560658,0.97816341,0.98687500,0.00000000,0.00000000,0.00000000,0.83333333,0.81513617,0.82409976,0.97370209
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,43,0.95298373,0.98560658,0.94263617,0.98687500,0.83152174,0.76500000,0.79687500,0.94930849,0.94263617,0.94527397,0.94326362
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,44,0.98560658,0.99108979,0.98589036,0.99187500,0.00000000,0.00000000,0.00000000,0.83333333,0.82157530,0.82740678,0.98207305
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,44,0.97468354,0.99108979,0.97074197,0.99187500,0.89500000,0.89500000,0.89500000,0.96994454,0.97074197,0.97033579,0.96931945
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,45,0.97806717,0.98766278,0.97704609,0.98875000,0.00000000,0.00000000,0.00000000,0.82956685,0.81420507,0.82177571,0.97277726
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,45,0.94394213,0.98766278,0.93003841,0.98875000,0.83233533,0.69500000,0.75749319,0.93892899,0.93003841,0.93272955,0.93260279
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,46,0.98080877,0.98903358,0.98151536,0.99000000,0.00000000,0.00000000,0.00000000,0.83003472,0.81792947,0.82386923,0.97614948
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,46,0.95057263,0.98903358,0.93959614,0.99000000,0.85882353,0.73000000,0.78918919,0.94651207,0.93959614,0.94175616,0.94043244
