dataset,model,novel_class,test_set,seed,accuracy_with_novel,accuracy_closed_world,balanced_accuracy_with_novel,balanced_accuracy_closed_world,novel_detection_precision,novel_detection_recall,novel_detection_f1,macro_precision,macro_recall,macro_f1,mcc_with_novel
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,42,0.94448252,0.98834818,0.94051327,0.98937500,0.00000000,0.00000000,0.00000000,0.83333333,0.78376106,0.80759871,0.93317101
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,42,0.95057263,0.98834818,0.94959439,0.98937500,0.71071429,0.99500000,0.82916667,0.95121689,0.94959439,0.94553370,0.94190132
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,43,0.94242632,0.98834818,0.93666899,0.98937500,0.00000000,0.00000000,0.00000000,0.83333333,0.78055750,0.80576247,0.93080549
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,43,0.94876432,0.98834818,0.94639083,0.98937500,0.70318021,0.99500000,0.82401656,0.95000093,0.94639083,0.94283858,0.93985350
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,44,0.94448252,0.99177519,0.94199022,0.99250000,0.00000000,0.00000000,0.00000000,0.83333333,0.78499185,0.80831136,0.93318967
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,44,0.95117541,0.99177519,0.95165852,0.99250000,0.71174377,1.00000000,0.83160083,0.95195730,0.95165852,0.94691150,0.94268926
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,45,0.93145990,0.99040439,0.92863827,0.99125000,0.00000000,0.00000000,0.00000000,0.83333333,0.77386522,0.80236233,0.91835050
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,45,0.93972272,0.99040439,0.94053189,0.99125000,0.66666667,1.00000000,0.80000000,0.94444444,0.94053189,0.93569566,0.92972843
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,46,0.94722413,0.98903358,0.94104399,0.99000000,0.00000000,0.00000000,0.00000000,0.83333333,0.78420333,0.80767357,0.93633189
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,46,0.93550332,0.98903358,0.92587000,0.99000000,0.68825911,0.85000000,0.76062640,0.93277265,0.92587000,0.92676368,0.92272157
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,42,0.88914550,0.98383372,0.86259777,0.98562500,0.00000000,0.00000000,0.00000000,0.83333333,0.71883147,0.76885234,0.87041535
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,42,0.91347852,0.98383372,0.88424814,0.98562500,0.73382625,0.99250000,0.84378321,0.95396547,0.88424814,0.90870659,0.89802971
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,43,0.90993072,0.98075443,0.89952863,0.98437500,0.00000000,0.00000000,0.00000000,0.83333333,0.74960719,0.78869392,0.89330873
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,43,0.93113596,0.98075443,0.91627386,0.98437500,0.77369439,1.00000000,0.87241003,0.96228240,0.91627386,0.93409559,0.91857807
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,44,0.91377983,0.99153195,0.90019204,0.99075768,0.00000000,0.00000000,0.00000000,0.83333333,0.75016003,0.78894031,0.89742052
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,44,0.93407887,0.99153195,0.91682670,0.99075768,0.78125000,1.00000000,0.87719298,0.96354167,0.91682670,0.93513914,0.92188902
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,45,0.89068514,0.98614319,0.87113827,0.98276536,0.00000000,0.00000000,0.00000000,0.83333333,0.72594856,0.77345749,0.87230777
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,45,0.91642142,0.98614319,0.89261522,0.98276536,0.73800738,1.00000000,0.84925690,0.95633456,0.89261522,0.91500031,0.90183260
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,46,0.89607390,0.98999230,0.87380936,0.99138268,0.00000000,0.00000000,0.00000000,0.83185841,0.72817446,0.77436445,0.87787166
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,46,0.91818717,0.98999230,0.89317446,0.99138268,0.74716981,0.99000000,0.85161290,0.95153379,0.89317446,0.91455433,0.90323418
