dataset,model,novel_class,test_set,accuracy_with_novel,accuracy_closed_world,balanced_accuracy_with_novel,balanced_accuracy_closed_world,novel_detection_precision,novel_detection_recall,novel_detection_f1,macro_precision,macro_recall,macro_f1,mcc_with_novel
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,0.98546950,0.98944483,0.98556844,0.98998115,0.00000000,0.00000000,0.00000000,0.82932260,0.82130703,0.82523941,0.98184170
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,0.92814949,0.98944483,0.90630703,0.98998115,0.86533824,0.51000000,0.63796566,0.92455144,0.90630703,0.90591846,0.91471511
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,0.97736721,0.98367975,0.97761383,0.98415922,0.00000000,0.00000000,0.00000000,0.82691338,0.81467819,0.82067329,0.97152496
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,0.85309005,0.98367975,0.88959486,0.98415922,0.87675341,0.44950000,0.55936248,0.85501943,0.88959486,0.84259581,0.83669520
BoT_IoT,RFF_LIM_NFST,TCP,known_only,0.97829099,0.98414165,0.97781844,0.98482961,0.00000000,0.00000000,0.00000000,0.82696303,0.81484870,0.82080110,0.97265033
BoT_IoT,RFF_LIM_NFST,TCP,with_novel_class,0.93243084,0.98414165,0.94543203,0.98482961,0.93898574,0.78350000,0.84959897,0.93238081,0.94543203,0.93540272,0.91965334
BoT_IoT,RFF_LIM_NFST,UDP,known_only,0.97813703,0.98321786,0.97821229,0.98427654,0.00000000,0.00000000,0.00000000,0.82603505,0.81517691,0.82046752,0.97243879
BoT_IoT,RFF_LIM_NFST,UDP,with_novel_class,0.86992348,0.98321786,0.90159358,0.98427654,0.92319608,0.51850000,0.66073115,0.88944003,0.90159358,0.86935758,0.85609012
BoT_IoT,RFF_LIM_NFST,scan,known_only,0.98444958,0.98829869,0.98262151,0.98765922,0.00000000,0.00000000,0.00000000,0.82801800,0.81885126,0.82338203,0.98030616
BoT_IoT,RFF_LIM_NFST,scan,with_novel_class,0.92477928,0.98829869,0.94068459,0.98765922,0.95355051,0.73100000,0.81553292,0.92867873,0.94068459,0.92489381,0.91394904
BoT_IoT,RFF_LIM_NFST,theft,known_only,0.97500000,0.98041667,0.97087500,0.97762500,0.00000000,0.00000000,0.00000000,0.82225953,0.80906250,0.81547462,0.96864907
BoT_IoT,RFF_LIM_NFST,theft,with_novel_class,0.90342754,0.98041667,0.88260510,0.97762500,0.81980772,0.44125561,0.54477511,0.90928160,0.88260510,0.87845689,0.88757325
