dataset,model,novel_class,test_set,accuracy_with_novel,accuracy_closed_world,balanced_accuracy_with_novel,balanced_accuracy_closed_world,novel_detection_precision,novel_detection_recall,novel_detection_f1,macro_precision,macro_recall,macro_f1,mcc_with_novel
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,0.98848526,0.98889650,0.98920461,0.98967807,0.00000000,0.00000000,0.00000000,0.82655504,0.82433717,0.82538171,0.98554605
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,0.89740808,0.98889650,0.86317051,0.98967807,0.71089098,0.23300000,0.34556229,0.87234221,0.86317051,0.84433067,0.88051345
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,0.98352579,0.98460354,0.98398115,0.98507961,0.00000000,0.00000000,0.00000000,0.82625630,0.81998429,0.82303237,0.97915268
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,0.75467922,0.98460354,0.82190095,0.98507961,0.39158120,0.01150000,0.02228252,0.72738993,0.82190095,0.72596521,0.74165008
BoT_IoT,RFF_LIM_NFST,TCP,known_only,0.98460354,0.98737490,0.98520461,0.98767807,0.00000000,0.00000000,0.00000000,0.82644057,0.82100384,0.82366337,0.98051590
BoT_IoT,RFF_LIM_NFST,TCP,with_novel_class,0.85061801,0.98737490,0.89025384,0.98767807,0.93174430,0.41550000,0.54617744,0.86379335,0.89025384,0.84694203,0.83289494
BoT_IoT,RFF_LIM_NFST,UDP,known_only,0.98337182,0.98414165,0.98425768,0.98498115,0.00000000,0.00000000,0.00000000,0.82288266,0.82021473,0.82145518,0.97891255
BoT_IoT,RFF_LIM_NFST,UDP,with_novel_class,0.75668040,0.98414165,0.82363140,0.98498115,0.61504329,0.02050000,0.03932823,0.80844323,0.82363140,0.73762122,0.76093262
BoT_IoT,RFF_LIM_NFST,scan,known_only,0.99122402,0.99137798,0.99123115,0.99148115,0.00000000,0.00000000,0.00000000,0.86077228,0.85911813,0.85990643,0.98884328
BoT_IoT,RFF_LIM_NFST,scan,with_novel_class,0.83849323,0.99137798,0.88310929,0.99148115,0.97588624,0.34250000,0.50684718,0.86229621,0.88310929,0.82867503,0.82677628
BoT_IoT,RFF_LIM_NFST,theft,known_only,0.98388889,0.98444444,0.98312500,0.98400000,0.00000000,0.00000000,0.00000000,0.82552124,0.81927083,0.82232765,0.97973529
BoT_IoT,RFF_LIM_NFST,theft,with_novel_class,0.86927240,0.98444444,0.84079550,0.98400000,0.57585378,0.12914798,0.20590342,0.84038041,0.84079550,0.81146990,0.85014783
