dataset,model,novel_class,test_set,seed,accuracy_with_novel,accuracy_closed_world,balanced_accuracy_with_novel,balanced_accuracy_closed_world,novel_detection_precision,novel_detection_recall,novel_detection_f1,macro_precision,macro_recall,macro_f1,mcc_with_novel
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,42,0.98629198,0.98629198,0.98700768,0.98700768,0.00000000,0.00000000,0.00000000,0.82746836,0.82250640,0.82491937,0.98282543
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,42,0.91500904,0.98629198,0.88833973,0.98700768,0.87777778,0.39500000,0.54482759,0.91884104,0.88833973,0.88657661,0.89993506
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,43,0.98834818,0.98834818,0.98888268,0.98888268,0.00000000,0.00000000,0.00000000,0.82336926,0.82406890,0.82363317,0.98535675
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,43,0.90596745,0.98834818,0.87490223,0.98888268,0.95312500,0.30500000,0.46212121,0.91709953,0.87490223,0.86620812,0.89012344
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,44,0.99040439,0.99040439,0.99125000,0.99125000,0.00000000,0.00000000,0.00000000,0.82825362,0.82604167,0.82712589,0.98792762
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,44,0.87100663,0.99040439,0.82604167,0.99125000,0.00000000,0.00000000,0.00000000,0.73667487,0.82604167,0.77806423,0.85144910
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,45,0.98903358,0.99040439,0.99000000,0.99125000,0.00000000,0.00000000,0.00000000,0.82689273,0.82500000,0.82584408,0.98626250
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,45,0.90717300,0.99040439,0.87666667,0.99125000,0.88571429,0.31000000,0.45925926,0.90334982,0.87666667,0.86476726,0.89124110
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,46,0.98834818,0.98903358,0.98888268,0.99000000,0.00000000,0.00000000,0.00000000,0.82679123,0.82406890,0.82538603,0.98535796
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,46,0.88788427,0.98903358,0.84990223,0.99000000,0.83783784,0.15500000,0.26160338,0.88574581,0.84990223,0.82603714,0.86981856
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,42,0.98306390,0.98383372,0.98375000,0.98500000,0.00000000,0.00000000,0.00000000,0.82863021,0.81979167,0.82415159,0.97855060
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,42,0.75456151,0.98383372,0.82187500,0.98500000,0.27777778,0.01250000,0.02392344,0.72890889,0.82187500,0.73892662,0.74258382
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,43,0.97382602,0.97382602,0.97750000,0.97750000,0.00000000,0.00000000,0.00000000,0.82349128,0.81458333,0.81879444,0.96711598
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,43,0.74455562,0.97382602,0.81458333,0.97750000,0.00000000,0.00000000,0.00000000,0.66918466,0.81458333,0.71598924,0.73499672
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,44,0.98845266,0.98845266,0.98825768,0.98825768,0.00000000,0.00000000,0.00000000,0.82785010,0.82354807,0.82566422,0.98531969
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,44,0.75985874,0.98845266,0.82646473,0.98825768,0.53846154,0.01750000,0.03389831,0.74611444,0.82646473,0.72857569,0.74675118
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,45,0.98537336,0.98537336,0.98263268,0.98263268,0.00000000,0.00000000,0.00000000,0.82206940,0.81886057,0.82038245,0.98136639
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,45,0.75750441,0.98537336,0.82177723,0.98263268,0.87500000,0.01750000,0.03431373,0.79251028,0.82177723,0.72068829,0.74148979
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,46,0.98691301,0.99153195,0.98776536,0.99200768,0.00000000,0.00000000,0.00000000,0.82924051,0.82313780,0.82616913,0.98341072
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,46,0.75691583,0.99153195,0.82480447,0.99200768,0.26666667,0.01000000,0.01927711,0.70023142,0.82480447,0.72564622,0.74242890
BoT_IoT,RFF_LIM_NFST,TCP,known_only,42,0.98537336,0.98614319,0.98562500,0.98687500,0.00000000,0.00000000,0.00000000,0.83015871,0.82135417,0.82572341,0.98149141
BoT_IoT,RFF_LIM_NFST,TCP,with_novel_class,42,0.87992937,0.98614319,0.91093750,0.98687500,0.93886463,0.53750000,0.68362480,0.89991144,0.91093750,0.89214663,0.86218778
BoT_IoT,RFF_LIM_NFST,TCP,known_only,43,0.97844496,0.97921478,0.98187500,0.98250000,0.00000000,0.00000000,0.00000000,0.82374531,0.81822917,0.82082628,0.97285717
BoT_IoT,RFF_LIM_NFST,TCP,with_novel_class,43,0.87168923,0.97921478,0.90572917,0.98250000,0.92511013,0.52500000,0.66985646,0.86596521,0.90572917,0.87029636,0.85208581
BoT_IoT,RFF_LIM_NFST,TCP,known_only,44,0.99153195,0.99538106,0.99125000,0.99437500,0.00000000,0.00000000,0.00000000,0.82991603,0.82604167,0.82795203,0.98925032
BoT_IoT,RFF_LIM_NFST,TCP,with_novel_class,44,0.83048852,0.99538106,0.87729167,0.99437500,0.94615385,0.30750000,0.46415094,0.84555444,0.87729167,0.82487046,0.81218898
BoT_IoT,RFF_LIM_NFST,TCP,known_only,45,0.98460354,0.98537336,0.98339036,0.98450768,0.00000000,0.00000000,0.00000000,0.82179108,0.81949197,0.82061627,0.98039660
BoT_IoT,RFF_LIM_NFST,TCP,with_novel_class,45,0.77457328,0.98537336,0.83490864,0.98450768,0.90243902,0.09250000,0.16780045,0.80911455,0.83490864,0.74873280,0.75795094
BoT_IoT,RFF_LIM_NFST,TCP,known_only,46,0.98306390,0.99076212,0.98388268,0.99013268,0.00000000,0.00000000,0.00000000,0.82659173,0.81990223,0.82319885,0.97858400
BoT_IoT,RFF_LIM_NFST,TCP,with_novel_class,46,0.89640965,0.99076212,0.92240223,0.99013268,0.94615385,0.61500000,0.74545455,0.89842110,0.92240223,0.89866393,0.88006119
BoT_IoT,RFF_LIM_NFST,UDP,known_only,42,0.98614319,0.98614319,0.98638268,0.98638268,0.00000000,0.00000000,0.00000000,0.82523875,0.82198557,0.82356585,0.98238615
BoT_IoT,RFF_LIM_NFST,UDP,with_novel_class,42,0.75750441,0.98614319,0.82448557,0.98638268,0.54545455,0.01500000,0.02919708,0.79793941,0.82448557,0.73736367,0.76255644
BoT_IoT,RFF_LIM_NFST,UDP,known_only,43,0.97536567,0.97536567,0.97888268,0.97888268,0.00000000,0.00000000,0.00000000,0.81869524,0.81573557,0.81694433,0.96893737
BoT_IoT,RFF_LIM_NFST,UDP,with_novel_class,43,0.75338434,0.97536567,0.82115223,0.97888268,0.54166667,0.03250000,0.06132075,0.79637421,0.82115223,0.73852574,0.75569442
BoT_IoT,RFF_LIM_NFST,UDP,known_only,44,0.98691301,0.98768283,0.98700768,0.98763268,0.00000000,0.00000000,0.00000000,0.82266098,0.82250640,0.82255873,0.98333723
BoT_IoT,RFF_LIM_NFST,UDP,with_novel_class,44,0.75809300,0.98768283,0.82500640,0.98763268,0.75000000,0.01500000,0.02941176,0.83228224,0.82500640,0.73762197,0.76415604
BoT_IoT,RFF_LIM_NFST,UDP,known_only,45,0.98691301,0.98691301,0.98625000,0.98625000,0.00000000,0.00000000,0.00000000,0.82382526,0.82187500,0.82278524,0.98334389
BoT_IoT,RFF_LIM_NFST,UDP,with_novel_class,45,0.75691583,0.98691301,0.82354167,0.98625000,0.66666667,0.01000000,0.01970443,0.81198421,0.82354167,0.73345935,0.76155320
BoT_IoT,RFF_LIM_NFST,UDP,known_only,46,0.98152425,0.98460354,0.98276536,0.98575768,0.00000000,0.00000000,0.00000000,0.82399306,0.81897114,0.82142178,0.97655812
BoT_IoT,RFF_LIM_NFST,UDP,with_novel_class,46,0.75750441,0.98460354,0.82397114,0.98575768,0.57142857,0.03000000,0.05700713,0.80363608,0.82397114,0.74113538,0.76070298
BoT_IoT,RFF_LIM_NFST,scan,known_only,42,0.99307159,0.99384142,0.99263268,0.99388268,0.00000000,0.00000000,0.00000000,0.83020985,0.82719390,0.82869326,0.99117911
BoT_IoT,RFF_LIM_NFST,scan,with_novel_class,42,0.84579164,0.99384142,0.88844390,0.99388268,0.97350993,0.36750000,0.53357532,0.86747935,0.88844390,0.83824066,0.83355977
BoT_IoT,RFF_LIM_NFST,scan,known_only,43,0.99153195,0.99153195,0.99200768,0.99200768,0.00000000,0.00000000,0.00000000,0.83021154,0.82667307,0.82842419,0.98924045
BoT_IoT,RFF_LIM_NFST,scan,with_novel_class,43,0.83284285,0.99153195,0.87958973,0.99200768,0.95488722,0.31750000,0.47654784,0.86084330,0.87958973,0.82427023,0.82163541
BoT_IoT,RFF_LIM_NFST,scan,known_only,44,0.98922248,0.98922248,0.98937500,0.98937500,0.00000000,0.00000000,0.00000000,0.82784236,0.82447917,0.82613112,0.98630265
BoT_IoT,RFF_LIM_NFST,scan,with_novel_class,44,0.83755150,0.98922248,0.88197917,0.98937500,0.95833333,0.34500000,0.50735294,0.84872428,0.88197917,0.82282496,0.82377969
BoT_IoT,RFF_LIM_NFST,scan,known_only,45,0.98922248,0.98922248,0.98937500,0.98937500,0.00000000,0.00000000,0.00000000,0.82180531,0.82447917,0.82302351,0.98632447
BoT_IoT,RFF_LIM_NFST,scan,with_novel_class,45,0.83637434,0.98922248,0.88114583,0.98937500,0.99270073,0.34000000,0.50651769,0.86760289,0.88114583,0.82799240,0.82585582
BoT_IoT,RFF_LIM_NFST,scan,known_only,46,0.99307159,0.99307159,0.99276536,0.99276536,0.00000000,0.00000000,0.00000000,0.99379233,0.99276536,0.99326006,0.99116971
BoT_IoT,RFF_LIM_NFST,scan,with_novel_class,46,0.83990583,0.99307159,0.88438780,0.99276536,1.00000000,0.34250000,0.51024209,0.86683125,0.88438780,0.83004689,0.82905072
BoT_IoT,RFF_LIM_NFST,theft,known_only,42,0.98194444,0.98194444,0.98062500,0.98062500,0.00000000,0.00000000,0.00000000,0.82387957,0.81718750,0.82048936,0.97724175
BoT_IoT,RFF_LIM_NFST,theft,with_novel_class,42,0.85508118,0.98194444,0.82316657,0.98062500,0.44444444,0.03587444,0.06639004,0.81537198,0.82316657,0.78454908,0.83502992
BoT_IoT,RFF_LIM_NFST,theft,known_only,43,0.98472222,0.98611111,0.98437500,0.98625000,0.00000000,0.00000000,0.00000000,0.82498132,0.82031250,0.82262786,0.98074861
BoT_IoT,RFF_LIM_NFST,theft,with_novel_class,43,0.85327721,0.98611111,0.82105988,0.98625000,0.09090909,0.00448430,0.00854701,0.75431382,0.82105988,0.77509656,0.83373098
BoT_IoT,RFF_LIM_NFST,theft,known_only,44,0.99236111,0.99236111,0.99125000,0.99125000,0.00000000,0.00000000,0.00000000,0.82916480,0.82604167,0.82758775,0.99035054
BoT_IoT,RFF_LIM_NFST,theft,with_novel_class,44,0.90018040,0.99236111,0.87686379,0.99125000,0.94444444,0.30493274,0.46101695,0.91441138,0.87686379,0.86493479,0.88504358
BoT_IoT,RFF_LIM_NFST,theft,known_only,45,0.98055556,0.98055556,0.98125000,0.98125000,0.00000000,0.00000000,0.00000000,0.82304528,0.81770833,0.82024019,0.97559413
BoT_IoT,RFF_LIM_NFST,theft,with_novel_class,45,0.86710764,0.98055556,0.84012986,0.98125000,0.71428571,0.13452915,0.22641509,0.85457496,0.84012986,0.81029006,0.84653466
BoT_IoT,RFF_LIM_NFST,theft,known_only,46,0.97986111,0.98125000,0.97812500,0.98062500,0.00000000,0.00000000,0.00000000,0.82653525,0.81510417,0.82069309,0.97474141
BoT_IoT,RFF_LIM_NFST,theft,with_novel_class,46,0.87071557,0.98125000,0.84275738,0.98062500,0.68518519,0.16591928,0.26714801,0.86322990,0.84275738,0.82247899,0.85040001
