dataset,model,novel_class,test_set,seed,accuracy_with_novel,accuracy_closed_world,balanced_accuracy_with_novel,balanced_accuracy_closed_world,novel_detection_precision,novel_detection_recall,novel_detection_f1,macro_precision,macro_recall,macro_f1,mcc_with_novel
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,42,0.98697738,0.98697738,0.98812500,0.98812500,0.00000000,0.00000000,0.00000000,0.82697705,0.82343750,0.82512939,0.98367543
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,42,0.90235081,0.98697738,0.87093750,0.98812500,0.86363636,0.28500000,0.42857143,0.90306313,0.87093750,0.86045443,0.88580247
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,43,0.98834818,0.98834818,0.98937500,0.98937500,0.00000000,0.00000000,0.00000000,0.98662725,0.98937500,0.98789358,0.98534801
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,43,0.89993972,0.98834818,0.86697917,0.98937500,1.00000000,0.25500000,0.40637450,0.91939225,0.86697917,0.85410438,0.88355774
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,44,0.99108979,0.99108979,0.99187500,0.99187500,0.00000000,0.00000000,0.00000000,0.82877122,0.82656250,0.82764510,0.98879157
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,44,0.87160940,0.99108979,0.82656250,0.99187500,0.00000000,0.00000000,0.00000000,0.73501221,0.82656250,0.77750342,0.85216831
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,45,0.98834818,0.98971899,0.98937500,0.99062500,0.00000000,0.00000000,0.00000000,0.82637030,0.82447917,0.82532325,0.98539877
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,45,0.90596745,0.98971899,0.87531250,0.99062500,0.88405797,0.30500000,0.45353160,0.90207460,0.87531250,0.86314954,0.88976496
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,46,0.98903358,0.98903358,0.99000000,0.99000000,0.00000000,0.00000000,0.00000000,0.82575340,0.82500000,0.82533870,0.98620063
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,46,0.88547318,0.98903358,0.84666667,0.99000000,0.89655172,0.13000000,0.22707424,0.89161600,0.84666667,0.81864384,0.86738690
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,42,0.98229407,0.98306390,0.98312500,0.98437500,0.00000000,0.00000000,0.00000000,0.82548386,0.81927083,0.82233742,0.97754953
