dataset,model,novel_class,test_set,seed,accuracy_with_novel,accuracy_closed_world,balanced_accuracy_with_novel,balanced_accuracy_closed_world,novel_detection_precision,novel_detection_recall,novel_detection_f1,macro_precision,macro_recall,macro_f1,mcc_with_novel
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,42,0.98629198,0.98629198,0.98750000,0.98750000,0.00000000,0.00000000,0.00000000,0.82608131,0.82291667,0.82440364,0.98282194
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,42,0.87160940,0.98629198,0.82875000,0.98750000,0.43750000,0.03500000,0.06481481,0.81220638,0.82875000,0.78893855,0.85125237
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,43,0.98560658,0.98560658,0.98687500,0.98687500,0.00000000,0.00000000,0.00000000,0.98507743,0.98687500,0.98587551,0.98189475
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,43,0.87643159,0.98560658,0.83572917,0.98687500,1.00000000,0.08000000,0.14814815,0.88987353,0.83572917,0.79295170,0.85738749
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,44,0.99108979,0.99108979,0.99187500,0.99187500,0.00000000,0.00000000,0.00000000,0.82928559,0.82656250,0.82790349,0.98879624
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,44,0.87763713,0.99108979,0.83489583,0.99187500,0.62500000,0.05000000,0.09259259,0.83357885,0.83489583,0.78923588,0.85889058
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,45,0.98766278,0.98766278,0.98875000,0.98875000,0.00000000,0.00000000,0.00000000,0.82496715,0.82395833,0.82433586,0.98454018
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,45,0.86980108,0.98766278,0.82562500,0.98875000,0.22222222,0.01000000,0.01913876,0.75907440,0.82562500,0.76955773,0.85060014
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,46,0.98834818,0.98903358,0.98937500,0.99000000,0.00000000,0.00000000,0.00000000,0.82646608,0.82447917,0.82539088,0.98538217
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,46,0.86980108,0.98903358,0.82531250,0.99000000,0.14285714,0.00500000,0.00966184,0.75272619,0.82531250,0.77468330,0.84987551
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,42,0.97690531,0.97690531,0.97714036,0.97714036,0.00000000,0.00000000,0.00000000,0.81725933,0.81428364,0.81571223,0.97065469
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,42,0.74808711,0.97690531,0.81511697,0.97714036,0.22222222,0.00500000,0.00977995,0.68817281,0.81511697,0.71734729,0.73325005
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,43,0.97690531,0.97690531,0.98062500,0.98062500,0.00000000,0.00000000,0.00000000,0.82112033,0.81718750,0.81890905,0.97089715
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,43,0.74690995,0.97690531,0.81718750,0.98062500,0.00000000,0.00000000,0.00000000,0.65541113,0.81718750,0.71300292,0.73255628
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,44,0.98306390,0.98306390,0.98312500,0.98312500,0.00000000,0.00000000,0.00000000,0.81905000,0.81927083,0.81913278,0.97843205
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,44,0.75161860,0.98306390,0.81927083,0.98312500,0.00000000,0.00000000,0.00000000,0.64270155,0.81927083,0.71081011,0.73823595
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,45,0.98383372,0.98383372,0.98200768,0.98200768,0.00000000,0.00000000,0.00000000,0.82249398,0.81833973,0.82032280,0.97940805
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,45,0.75220718,0.98383372,0.81833973,0.98200768,0.00000000,0.00000000,0.00000000,0.67677146,0.81833973,0.73295694,0.73945272
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,46,0.98460354,0.98845266,0.98687500,0.99000000,0.00000000,0.00000000,0.00000000,0.82613218,0.82239583,0.82420267,0.98050595
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,46,0.75279576,0.98845266,0.82239583,0.99000000,0.00000000,0.00000000,0.00000000,0.66249183,0.82239583,0.71716616,0.74099528
BoT_IoT,RFF_LIM_NFST,TCP,known_only,42,0.97921478,0.97921478,0.97964036,0.97964036,0.00000000,0.00000000,0.00000000,0.81805872,0.81636697,0.81713070,0.97360727
BoT_IoT,RFF_LIM_NFST,TCP,with_novel_class,42,0.81989406,0.97921478,0.86678364,0.97964036,0.94531250,0.30250000,0.45833333,0.83929554,0.86678364,0.81354703,0.80108441
BoT_IoT,RFF_LIM_NFST,TCP,known_only,43,0.97998460,0.99153195,0.98312500,0.99250000,0.00000000,0.00000000,0.00000000,0.82335156,0.81927083,0.82115871,0.97475852
BoT_IoT,RFF_LIM_NFST,TCP,with_novel_class,43,0.91288994,0.99153195,0.93510417,0.99250000,0.94880546,0.69500000,0.80230880,0.91705974,0.93510417,0.91966136,0.89761634
BoT_IoT,RFF_LIM_NFST,TCP,known_only,44,0.98845266,0.98999230,0.98812500,0.98937500,0.00000000,0.00000000,0.00000000,0.82782913,0.82343750,0.82559549,0.98533046
BoT_IoT,RFF_LIM_NFST,TCP,with_novel_class,44,0.75573867,0.98999230,0.82343750,0.98937500,0.00000000,0.00000000,0.00000000,0.63222906,0.82343750,0.71006588,0.73894919
BoT_IoT,RFF_LIM_NFST,TCP,known_only,45,0.98691301,0.98691301,0.98562500,0.98562500,0.00000000,0.00000000,0.00000000,0.82409819,0.82135417,0.82267227,0.98331942
BoT_IoT,RFF_LIM_NFST,TCP,with_novel_class,45,0.82872278,0.98691301,0.87385417,0.98562500,0.99212598,0.31500000,0.47817837,0.87275032,0.87385417,0.83565651,0.81126721
BoT_IoT,RFF_LIM_NFST,TCP,known_only,46,0.98460354,0.98460354,0.98352304,0.98352304,0.00000000,0.00000000,0.00000000,0.82303118,0.81960254,0.82128262,0.98042432
BoT_IoT,RFF_LIM_NFST,TCP,with_novel_class,46,0.80047087,0.98460354,0.85335254,0.98352304,0.92045455,0.20250000,0.33196721,0.83340925,0.85335254,0.78711468,0.78398458
BoT_IoT,RFF_LIM_NFST,UDP,known_only,42,0.98229407,0.98229407,0.98102304,0.98102304,0.00000000,0.00000000,0.00000000,0.82246660,0.81751920,0.81995780,0.97745227
BoT_IoT,RFF_LIM_NFST,UDP,with_novel_class,42,0.75338434,0.98229407,0.81918587,0.98102304,0.44444444,0.01000000,0.01955990,0.77336893,0.81918587,0.73069285,0.75605450
BoT_IoT,RFF_LIM_NFST,UDP,known_only,43,0.97690531,0.97690531,0.98062500,0.98062500,0.00000000,0.00000000,0.00000000,0.81635306,0.81718750,0.81644627,0.97084961
BoT_IoT,RFF_LIM_NFST,UDP,with_novel_class,43,0.75161860,0.97690531,0.82052083,0.98062500,0.53333333,0.02000000,0.03855422,0.78997570,0.82052083,0.73321242,0.75438024
BoT_IoT,RFF_LIM_NFST,UDP,known_only,44,0.98460354,0.98460354,0.98450768,0.98450768,0.00000000,0.00000000,0.00000000,0.81826567,0.82042307,0.81928813,0.98040696
BoT_IoT,RFF_LIM_NFST,UDP,with_novel_class,44,0.75279576,0.98460354,0.82042307,0.98450768,0.00000000,0.00000000,0.00000000,0.70318949,0.82042307,0.72967510,0.75895649
BoT_IoT,RFF_LIM_NFST,UDP,known_only,45,0.99076212,0.99076212,0.98937500,0.98937500,0.00000000,0.00000000,0.00000000,0.99189472,0.98937500,0.99058518,0.98822837
BoT_IoT,RFF_LIM_NFST,UDP,with_novel_class,45,0.75750441,0.99076212,0.82447917,0.98937500,0.00000000,0.00000000,0.00000000,0.70163875,0.82447917,0.73203994,0.76264403
BoT_IoT,RFF_LIM_NFST,UDP,known_only,46,0.98075443,0.98075443,0.98263268,0.98263268,0.00000000,0.00000000,0.00000000,0.81720467,0.81886057,0.81785024,0.97558843
BoT_IoT,RFF_LIM_NFST,UDP,with_novel_class,46,0.75573867,0.98075443,0.82302723,0.98263268,0.76923077,0.02500000,0.04842615,0.83539796,0.82302723,0.73854649,0.76079687
BoT_IoT,RFF_LIM_NFST,scan,known_only,42,0.99076212,0.99076212,0.99026536,0.99026536,0.00000000,0.00000000,0.00000000,0.98802778,0.99026536,0.98912326,0.98822687
BoT_IoT,RFF_LIM_NFST,scan,with_novel_class,42,0.76456739,0.99076212,0.83022114,0.99026536,1.00000000,0.03000000,0.05825243,0.84218397,0.83022114,0.73249399,0.76285157
BoT_IoT,RFF_LIM_NFST,scan,known_only,43,0.98922248,0.98922248,0.99013268,0.99013268,0.00000000,0.00000000,0.00000000,0.82764407,0.82511057,0.82634476,0.98631034
BoT_IoT,RFF_LIM_NFST,scan,with_novel_class,43,0.76162448,0.98922248,0.82886057,0.99013268,0.60000000,0.02250000,0.04337349,0.78969422,0.82886057,0.73641219,0.76161817
BoT_IoT,RFF_LIM_NFST,scan,known_only,44,0.99153195,0.99153195,0.99125000,0.99125000,0.00000000,0.00000000,0.00000000,0.82940166,0.82604167,0.82769201,0.98924512
BoT_IoT,RFF_LIM_NFST,scan,with_novel_class,44,0.76044732,0.99153195,0.82770833,0.99125000,0.40000000,0.01000000,0.01951220,0.74593652,0.82770833,0.72770911,0.75921220
BoT_IoT,RFF_LIM_NFST,scan,known_only,45,0.98614319,0.98614319,0.98700768,0.98700768,0.00000000,0.00000000,0.00000000,0.81783583,0.82250640,0.81988013,0.98245884
BoT_IoT,RFF_LIM_NFST,scan,with_novel_class,45,0.75515009,0.98614319,0.82333973,0.98700768,0.66666667,0.00500000,0.00992556,0.75864388,0.82333973,0.70382926,0.74886033
BoT_IoT,RFF_LIM_NFST,scan,known_only,46,0.99384142,0.99384142,0.99263268,0.99263268,0.00000000,0.00000000,0.00000000,0.99374777,0.99263268,0.99318191,0.99214525
BoT_IoT,RFF_LIM_NFST,scan,with_novel_class,46,0.76044732,0.99384142,0.82761057,0.99263268,1.00000000,0.00250000,0.00498753,0.84948652,0.82761057,0.72727207,0.76214198
BoT_IoT,RFF_LIM_NFST,theft,known_only,42,0.98125000,0.98125000,0.98125000,0.98125000,0.00000000,0.00000000,0.00000000,0.81994691,0.81770833,0.81873339,0.97638564
