dataset,model,novel_class,test_set,seed,accuracy_with_novel,accuracy_closed_world,balanced_accuracy_with_novel,balanced_accuracy_closed_world,novel_detection_precision,novel_detection_recall,novel_detection_f1,macro_precision,macro_recall,macro_f1,mcc_with_novel
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,42,0.96641535,0.97875257,0.96691341,0.97816341,0.00000000,0.00000000,0.00000000,0.82556990,0.80576117,0.81546458,0.95837794
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,42,0.93550332,0.97875257,0.92409451,0.97816341,0.80225989,0.71000000,0.75331565,0.92498965,0.92409451,0.92362643,0.92207899
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,43,0.96435915,0.98217958,0.96602304,0.98227304,0.00000000,0.00000000,0.00000000,0.82591866,0.80501920,0.81519912,0.95605838
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,43,0.93248945,0.98217958,0.92168587,0.98227304,0.77348066,0.70000000,0.73490814,0.91758642,0.92168587,0.91858754,0.91847776
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,44,0.97326936,0.98423578,0.97316341,0.98316341,0.00000000,0.00000000,0.00000000,0.82873321,0.81096951,0.81971680,0.96682730
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,44,0.94153104,0.98423578,0.92930284,0.98316341,0.82080925,0.71000000,0.76139410,0.93303423,0.92930284,0.93012674,0.92939953
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,45,0.97326936,0.98423578,0.97365573,0.98365573,0.00000000,0.00000000,0.00000000,0.82343604,0.81137977,0.81718332,0.96673072
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,45,0.94092827,0.98423578,0.92887977,0.98365573,0.85975610,0.70500000,0.77472527,0.93152517,0.92887977,0.92819909,0.92887541
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,46,0.96710075,0.98629198,0.96852304,0.98602304,0.00000000,0.00000000,0.00000000,0.82873445,0.80710254,0.81766241,0.95943719
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,46,0.93731163,0.98629198,0.92710254,0.98602304,0.78260870,0.72000000,0.75000000,0.92915804,0.92710254,0.92733549,0.92432231
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,42,0.95688992,0.97613549,0.95842877,0.97651536,0.00000000,0.00000000,0.00000000,0.81394313,0.79869064,0.80578770,0.94626044
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,42,0.87580930,0.97613549,0.90077398,0.97651536,0.87500000,0.61250000,0.72058824,0.86648352,0.90077398,0.86893767,0.85580416
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,43,0.96304850,0.96920708,0.96441341,0.97039804,0.00000000,0.00000000,0.00000000,0.81780607,0.80367784,0.81055026,0.95359070
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,43,0.81518540,0.96920708,0.85951117,0.97039804,0.83229814,0.33500000,0.47771836,0.81050998,0.85951117,0.80542050,0.79091834
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,44,0.96304850,0.98229407,0.96700768,0.98263268,0.00000000,0.00000000,0.00000000,0.81668507,0.80583973,0.81091158,0.95384276
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,44,0.85050029,0.98229407,0.88667307,0.98263268,0.86607143,0.48500000,0.62179487,0.86243787,0.88667307,0.84999000,0.83159183
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,45,0.95765974,0.97228637,0.95316341,0.96553073,0.00000000,0.00000000,0.00000000,0.81934936,0.79430284,0.80661600,0.94710370
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,45,0.91818717,0.97228637,0.92596951,0.96553073,0.89014085,0.79000000,0.83708609,0.90426353,0.92596951,0.91226162,0.90140622
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,46,0.95227098,0.96458814,0.95079609,0.96079609,0.00000000,0.00000000,0.00000000,0.80480814,0.79233007,0.79815282,0.94012675
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,46,0.75397293,0.96458814,0.81066341,0.96079609,0.60273973,0.11000000,0.18604651,0.74749920,0.81066341,0.73185800,0.72995743
BoT_IoT,RFF_LIM_NFST,TCP,known_only,42,0.96843726,0.97767513,0.97227304,0.97977304,0.00000000,0.00000000,0.00000000,0.82054244,0.81022754,0.81504124,0.96052043
BoT_IoT,RFF_LIM_NFST,TCP,with_novel_class,42,0.88522660,0.97767513,0.91272754,0.97977304,0.90109890,0.61500000,0.73105498,0.88140242,0.91272754,0.88411744,0.86651085
BoT_IoT,RFF_LIM_NFST,TCP,known_only,43,0.95842956,0.96843726,0.96151536,0.96964036,0.00000000,0.00000000,0.00000000,0.80770689,0.80126280,0.80404211,0.94789915
BoT_IoT,RFF_LIM_NFST,TCP,with_novel_class,43,0.83402001,0.96843726,0.87292947,0.96964036,0.87309645,0.43000000,0.57621441,0.82944335,0.87292947,0.82167444,0.81296451
BoT_IoT,RFF_LIM_NFST,TCP,known_only,44,0.96997691,0.98229407,0.97200768,0.98200768,0.00000000,0.00000000,0.00000000,0.81788069,0.81000640,0.81369135,0.96233746
BoT_IoT,RFF_LIM_NFST,TCP,with_novel_class,44,0.80988817,0.98229407,0.85833973,0.98200768,0.83453237,0.29000000,0.43042672,0.81246650,0.85833973,0.79097349,0.79166682
BoT_IoT,RFF_LIM_NFST,TCP,known_only,45,0.95458045,0.97382602,0.95329609,0.97017109,0.00000000,0.00000000,0.00000000,0.81366955,0.79441341,0.80372577,0.94335281
BoT_IoT,RFF_LIM_NFST,TCP,with_novel_class,45,0.88228370,0.97382602,0.90233007,0.97017109,0.87205387,0.64750000,0.74318508,0.86701085,0.90233007,0.87348177,0.86179128
BoT_IoT,RFF_LIM_NFST,TCP,known_only,46,0.94380293,0.96843726,0.93564595,0.96217877,0.00000000,0.00000000,0.00000000,0.80904879,0.77970496,0.79364413,0.93006436
BoT_IoT,RFF_LIM_NFST,TCP,with_novel_class,46,0.80871101,0.96843726,0.84137162,0.96217877,0.76288660,0.37000000,0.49831650,0.83987773,0.84137162,0.80965622,0.78714780
BoT_IoT,RFF_LIM_NFST,UDP,known_only,42,0.96304850,0.97844496,0.96589036,0.97901536,0.00000000,0.00000000,0.00000000,0.81841440,0.80490864,0.81134855,0.95386427
BoT_IoT,RFF_LIM_NFST,UDP,with_novel_class,42,0.78752207,0.97844496,0.84115864,0.97901536,0.73109244,0.21750000,0.33526012,0.82032029,0.84115864,0.78186670,0.77426759
BoT_IoT,RFF_LIM_NFST,UDP,known_only,43,0.96766744,0.97074673,0.96964036,0.97214036,0.00000000,0.00000000,0.00000000,0.80679659,0.80803364,0.80702862,0.95917265
BoT_IoT,RFF_LIM_NFST,UDP,with_novel_class,43,0.74926427,0.97074673,0.81470030,0.97214036,0.59259259,0.04000000,0.07494145,0.73593103,0.81470030,0.70588906,0.73530114
BoT_IoT,RFF_LIM_NFST,UDP,known_only,44,0.96381832,0.98229407,0.96714036,0.98263268,0.00000000,0.00000000,0.00000000,0.81902380,0.80595030,0.81217056,0.95485845
BoT_IoT,RFF_LIM_NFST,UDP,with_novel_class,44,0.84932313,0.98229407,0.88553364,0.98263268,0.85650224,0.47750000,0.61316212,0.85475889,0.88553364,0.85009159,0.82712489
BoT_IoT,RFF_LIM_NFST,UDP,known_only,45,0.95458045,0.97074673,0.95392109,0.96704609,0.00000000,0.00000000,0.00000000,0.81680155,0.79493424,0.80565358,0.94335890
BoT_IoT,RFF_LIM_NFST,UDP,with_novel_class,45,0.79870512,0.97074673,0.84368424,0.96704609,0.74522293,0.29250000,0.42010772,0.79473191,0.84368424,0.78250032,0.77587196
BoT_IoT,RFF_LIM_NFST,UDP,known_only,46,0.95073133,0.96535797,0.94829609,0.96079609,0.00000000,0.00000000,0.00000000,0.81107054,0.79024674,0.80044666,0.93839172
BoT_IoT,RFF_LIM_NFST,UDP,with_novel_class,46,0.80988817,0.96535797,0.84899674,0.96079609,0.78770950,0.35250000,0.48704663,0.82589180,0.84899674,0.80873138,0.78524411
BoT_IoT,RFF_LIM_NFST,scan,known_only,42,0.97151655,0.98152425,0.96806913,0.97717877,0.00000000,0.00000000,0.00000000,0.82542468,0.80672428,0.81590840,0.96416533
BoT_IoT,RFF_LIM_NFST,scan,with_novel_class,42,0.86109476,0.98152425,0.89047428,0.97717877,0.88546256,0.50250000,0.64114833,0.87642879,0.89047428,0.86795076,0.84044987
BoT_IoT,RFF_LIM_NFST,scan,known_only,43,0.97382602,0.98075443,0.97441341,0.98003841,0.00000000,0.00000000,0.00000000,0.81559442,0.81201117,0.81367770,0.96686085
