dataset,model,novel_class,test_set,seed,accuracy_with_novel,accuracy_closed_world,balanced_accuracy_with_novel,balanced_accuracy_closed_world,novel_detection_precision,novel_detection_recall,novel_detection_f1,macro_precision,macro_recall,macro_f1,mcc_with_novel
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,42,0.96298835,0.98697738,0.96280377,0.98812500,0.00000000,0.00000000,0.00000000,0.83236994,0.80233648,0.81697369,0.95479341
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,42,0.95298373,0.98697738,0.94900314,0.98812500,0.76855895,0.88000000,0.82051282,0.94855834,0.94900314,0.94770545,0.94346264
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,43,0.96572995,0.98834818,0.96579609,0.98937500,0.00000000,0.00000000,0.00000000,0.83333333,0.80483007,0.81876805,0.95806668
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,43,0.96684750,0.98834818,0.96733007,0.98937500,0.79591837,0.97500000,0.87640449,0.96332773,0.96733007,0.96353827,0.96045013
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,44,0.96161755,0.99108979,0.95958450,0.99187500,0.00000000,0.00000000,0.00000000,0.83333333,0.79965375,0.81608574,0.95314534
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,44,0.96624473,0.99108979,0.96632041,0.99187500,0.78125000,1.00000000,0.87719298,0.96354167,0.96632041,0.96228457,0.95998974
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,45,0.96161755,0.98971899,0.95958450,0.99062500,0.00000000,0.00000000,0.00000000,0.83040936,0.79965375,0.81470245,0.95302135
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,45,0.96564195,0.98971899,0.96548708,0.99062500,0.78968254,0.99500000,0.88053097,0.96107112,0.96548708,0.96100177,0.95915557
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,46,0.96367375,0.98903358,0.95949022,0.99000000,0.00000000,0.00000000,0.00000000,0.83333333,0.79957519,0.81587895,0.95562390
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,46,0.95177818,0.98903358,0.94374185,0.99000000,0.76548673,0.86500000,0.81220657,0.94694243,0.94374185,0.94426305,0.94191776
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,42,0.93379523,0.98306390,0.92204609,0.98437500,0.00000000,0.00000000,0.00000000,0.83333333,0.76837174,0.79839142,0.92012980
