dataset,model,novel_class,test_set,accuracy_with_novel,accuracy_closed_world,balanced_accuracy_with_novel,balanced_accuracy_closed_world,novel_detection_precision,novel_detection_recall,novel_detection_f1,macro_precision,macro_recall,macro_f1,mcc_with_novel
BoT_IoT,RFF_LIM_NFST,0Normal,known_only,0.87621659,0.98930775,0.87432472,0.98985615,0.00000000,0.00000000,0.00000000,0.83333333,0.72860393,0.77700867,0.85891220
BoT_IoT,RFF_LIM_NFST,0Normal,with_novel_class,0.89101869,0.98930775,0.89510393,0.98985615,0.52800342,0.99900000,0.69007392,0.92121975,0.89510393,0.89196911,0.87670776
BoT_IoT,RFF_LIM_NFST,HTTP,known_only,0.87159353,0.98414165,0.87262430,0.98438268,0.00000000,0.00000000,0.00000000,0.83227105,0.72718692,0.77553388,0.85270347
BoT_IoT,RFF_LIM_NFST,HTTP,with_novel_class,0.89793996,0.98414165,0.89110358,0.98438268,0.70398450,0.98350000,0.82045086,0.94303842,0.89110358,0.90905934,0.88043059
BoT_IoT,RFF_LIM_NFST,TCP,known_only,0.87282525,0.98460354,0.87571508,0.98507961,0.00000000,0.00000000,0.00000000,0.83120721,0.72976257,0.77667294,0.85393735
BoT_IoT,RFF_LIM_NFST,TCP,with_novel_class,0.89323131,0.98460354,0.88967924,0.98507961,0.70266452,0.95950000,0.81073215,0.93319934,0.88967924,0.90409833,0.87413400
BoT_IoT,RFF_LIM_NFST,UDP,known_only,0.88221709,0.98337182,0.88425628,0.98427654,0.00000000,0.00000000,0.00000000,0.83182786,0.73688024,0.78114143,0.86389183
BoT_IoT,RFF_LIM_NFST,UDP,with_novel_class,0.85709241,0.98337182,0.86613024,0.98427654,0.67013218,0.77550000,0.71443912,0.88783795,0.86613024,0.86681936,0.83016535
BoT_IoT,RFF_LIM_NFST,scan,known_only,0.86497306,0.98799076,0.86826466,0.98725768,0.00000000,0.00000000,0.00000000,0.83246312,0.72355389,0.77362058,0.84593296
BoT_IoT,RFF_LIM_NFST,scan,with_novel_class,0.89217187,0.98799076,0.88697055,0.98725768,0.69254923,0.98050000,0.81150372,0.94009541,0.88697055,0.90506309,0.87388208
BoT_IoT,RFF_LIM_NFST,theft,known_only,0.85708333,0.98083333,0.85925000,0.97862500,0.00000000,0.00000000,0.00000000,0.83217784,0.71604167,0.76936217,0.83883950
BoT_IoT,RFF_LIM_NFST,theft,with_novel_class,0.87624775,0.98083333,0.88270833,0.97862500,0.52289497,1.00000000,0.68621909,0.91932700,0.88270833,0.88373202,0.86078601
