dataset,model,novel_class,test_set,accuracy_with_novel,novel_detection_precision,novel_detection_recall,novel_detection_f1,macro_precision,macro_recall,macro_f1,mcc_with_novel
,,,,,,,,,,,
,,,,,,,,,,,
BoT_IoT,RFF-REF-LIM,0Normal,combined,0.76983003,0.97435897,0.38,0.54676259,0.81560668,0.881875,0.81063036,0.75299482
,,,,,,,,,,,
,,,,,,,,,,,
BoT_IoT,RFF-REF-LIM,HTTP,combined,0.44564018,0.56140351,0.016,0.03111327,0.66870359,0.80921429,0.62472756,0.5179183
,,,,,,,,,,,
,,,,,,,,,,,
BoT_IoT,RFF-REF-LIM,TCP,combined,0.44895143,0.64179104,0.0215,0.04160619,0.61605834,0.80929762,0.59096835,0.50116727
,,,,,,,,,,,
,,,,,,,,,,,
BoT_IoT,RFF-REF-LIM,UDP,combined,0.67080574,0.97165533,0.4285,0.59472588,0.78886659,0.87305357,0.76623063,0.66513279
,,,,,,,,,,,
,,,,,,,,,,,
BoT_IoT,RFF-REF-LIM,scan,combined,0.87058499,0.98081683,0.7925,0.87665929,0.87182031,0.93205357,0.8751582,0.83154705
,,,,,,,,,,,
,,,,,,,,,,,
BoT_IoT,RFF-REF-LIM,theft,combined,0.76867718,0.95019157,0.44364937,0.60487805,0.84132661,0.87644156,0.81072384,0.76031141
