dataset,model,novel_class,test_set,accuracy_with_novel,novel_detection_precision,novel_detection_recall,novel_detection_f1,macro_precision,macro_recall,macro_f1,mcc_with_novel
,,,,,,,,,,,
,,,,,,,,,,,
BoT_IoT,RFF-REF-LIM,0Normal,combined,0.93236544,0.88341232,0.932,0.90705596,0.95369739,0.93021429,0.9408451,0.91411615
,,,,,,,,,,,
,,,,,,,,,,,
BoT_IoT,RFF-REF-LIM,HTTP,combined,0.71412804,0.91086587,0.5365,0.67526746,0.77228903,0.86557738,0.76904985,0.66108441
,,,,,,,,,,,
,,,,,,,,,,,
BoT_IoT,RFF-REF-LIM,TCP,combined,0.85513245,0.92150171,0.81,0.86216072,0.86962996,0.89238095,0.85652815,0.79804455
,,,,,,,,,,,
,,,,,,,,,,,
BoT_IoT,RFF-REF-LIM,UDP,combined,0.72958057,0.8997669,0.579,0.70459385,0.84585908,0.85950595,0.80463105,0.68365995
,,,,,,,,,,,
,,,,,,,,,,,
BoT_IoT,RFF-REF-LIM,scan,combined,0.9450883,0.93037673,0.9755,0.9524042,0.95064683,0.92091667,0.93340439,0.91527025
,,,,,,,,,,,
,,,,,,,,,,,
BoT_IoT,RFF-REF-LIM,theft,combined,0.94653873,0.8816101,0.99910555,0.93668763,0.97522104,0.92526759,0.94806672,0.9317953
